Participant,Condition,Strategy,Confidence
1,1,CJ,2
2,1,CJ,4
3,1,2D,4
4,1,CJ,2
5,1,UDR,3
6,1,CJ,4
7,1,CJ,4
8,1,CJ,3
9,1,CJ,3
10,1,2D,3
11,1,CJ,3
12,1,CJ,4
13,1,UDR,3
14,1,2D,3
15,1,CJ,3
16,1,CJ,1
17,1,CJ,2
18,1,CJ,3
19,1,2D,1
20,1,CJ,4
21,2,UDR,2
22,2,UI,2
23,2,UI,0
24,2,CJ,3
25,2,CJ,2
26,2,UDR,1
27,2,CJ,2
28,2,CJ,2
29,2,2D,2
30,2,CJ,1
31,2,CJ,3
32,2,CJ,4
33,2,CJ,3
34,2,CJ,2
35,2,CJ,3
36,2,2D,2
37,2,2D,1
38,2,2D,2
39,2,UDL,1
40,2,CJ,3
