"categoryStructure","strategyType","perceptualNoise","boundaryNoise","no_ppts","prop_UD","prop_GLC","prop_CJ","prop_RND","wBIC_UD","wBIC_GLC","wBIC_CJ","wBIC_RND"
"UD","UD",0,0,200,1,0,0,0,0.99502487585767,0,0,0
"UD","UD",0,10,200,1,0,0,0,0.989543534299003,0,0,0
"UD","UD",0,20,200,1,0,0,0,0.986777672224824,0,0,0
"UD","UD",0,30,200,1,0,0,0,0.989512381462209,0,0,0
"UD","UD",0,40,200,0.99,0,0,0.01,0.975970310572737,0,0,0.00544859288672826
"UD","UD",0,50,200,0.89,0,0,0.11,0.829137367560199,0,0,0.0750193527377374
"UD","UD",5,0,200,0.99,0,0.01,0,0.984780730579595,0,0.00999999999985658,0
"UD","UD",5,10,200,1,0,0,0,0.989123910611901,0,0,0
"UD","UD",5,20,200,1,0,0,0,0.98481511976113,0,0,0
"UD","UD",5,30,200,1,0,0,0,0.980906069358379,0,0,0
"UD","UD",5,40,200,0.985,0,0,0.015,0.967975528275879,0,0,0.0091927006346016
"UD","UD",5,50,200,0.935,0,0.005,0.06,0.897089256200524,0,0.00353819140168296,0.0462995724476234
"UD","UD",10,0,200,1,0,0,0,0.989326145949762,0,0,0
"UD","UD",10,10,200,0.99,0,0.01,0,0.981178609953352,0,0.00843627637018069,0
"UD","UD",10,20,200,0.995,0,0.005,0,0.982689064163097,0,0.00412802922497436,0
"UD","UD",10,30,200,1,0,0,0,0.989673715441001,0,0,0
"UD","UD",10,40,200,0.995,0,0,0.005,0.980563826024336,0,0,0.00376663110940206
"UD","UD",10,50,200,0.9,0,0,0.1,0.842840178504875,0,0,0.0760048389029032
"UD","UD",15,0,200,1,0,0,0,0.990501391838573,0,0,0
"UD","UD",15,10,200,1,0,0,0,0.990909713955521,0,0,0
"UD","UD",15,20,200,1,0,0,0,0.983731115565769,0,0,0
"UD","UD",15,30,200,1,0,0,0,0.990462323340294,0,0,0
"UD","UD",15,40,200,0.975,0,0,0.025,0.957459697436287,0,0,0.0195222480826893
"UD","UD",15,50,200,0.89,0,0,0.11,0.831789890057147,0,0,0.0877192961954475
"UD","UD",20,0,200,1,0,0,0,0.982925046132691,0,0,0
"UD","UD",20,10,200,1,0,0,0,0.987340594572273,0,0,0
"UD","UD",20,20,200,1,0,0,0,0.986387511430867,0,0,0
"UD","UD",20,30,200,1,0,0,0,0.991516671124808,0,0,0
"UD","UD",20,40,200,0.975,0,0.005,0.02,0.946282020510962,0,0.00374254241027305,0.0156685101894961
"UD","UD",20,50,200,0.835,0,0,0.165,0.752061245064677,0,0,0.129305722421536
"UD","UD",25,0,200,0.995,0,0.005,0,0.984081809688802,0,0.00374047492902257,0
"UD","UD",25,10,200,1,0,0,0,0.98185429106755,0,0,0
"UD","UD",25,20,200,1,0,0,0,0.991067618872525,0,0,0
"UD","UD",25,30,200,1,0,0,0,0.988492965593151,0,0,0
"UD","UD",25,40,200,0.975,0,0,0.025,0.923546127906843,0,0,0.0189933096874385
"UD","UD",25,50,200,0.76,0,0,0.24,0.686909231077802,0,0,0.182594324764138
"UD","GLC",0,0,200,1,0,0,0,0.999527313132919,0,0,0
"UD","GLC",0,10,200,1,0,0,0,0.984669076188757,0,0,0
"UD","GLC",0,20,200,1,0,0,0,0.98561408160279,0,0,0
"UD","GLC",0,30,200,1,0,0,0,0.984448739477859,0,0,0
"UD","GLC",0,40,200,0.99,0,0,0.01,0.97328515329423,0,0,0.0084714809397282
"UD","GLC",0,50,200,0.9,0,0,0.1,0.840100699638828,0,0,0.0778321729148591
"UD","GLC",5,0,200,0.955,0,0.045,0,0.943548587980609,0,0.0449999999954229,0
"UD","GLC",5,10,200,0.99,0,0.01,0,0.984013857909207,0,0.00802363353225285,0
"UD","GLC",5,20,200,0.995,0,0.005,0,0.980602653532518,0,0.00339429332050302,0
"UD","GLC",5,30,200,0.995,0,0.005,0,0.986134193672214,0,0.00353334413777407,0
"UD","GLC",5,40,200,1,0,0,0,0.981878131455896,0,0,0
"UD","GLC",5,50,200,0.915,0,0,0.085,0.862957292399459,0,0,0.0645581972151035
"UD","GLC",10,0,200,1,0,0,0,0.98828557332753,0,0,0
"UD","GLC",10,10,200,1,0,0,0,0.985337495159282,0,0,0
"UD","GLC",10,20,200,1,0,0,0,0.980501863486153,0,0,0
