"categoryStructure","strategyType","perceptualNoise","boundaryNoise","no_ppts","prop_UD","prop_GLC","prop_CJ","prop_RND","wBIC_UD","wBIC_GLC","wBIC_CJ","wBIC_RND"
"UD","GLC",10,30,200,1,0,0,0,0.989816889859652,0,0,0
"UD","GLC",10,40,200,0.995,0,0,0.005,0.96494177887451,0,0,0.00327893533108501
"UD","GLC",10,50,200,0.875,0,0,0.125,0.824087313406555,0,0,0.0862965016542196
"UD","GLC",15,0,200,1,0,0,0,0.991410655459251,0,0,0
"UD","GLC",15,10,200,1,0,0,0,0.993075784985187,0,0,0
"UD","GLC",15,20,200,1,0,0,0,0.987756793310471,0,0,0
"UD","GLC",15,30,200,1,0,0,0,0.989717267840296,0,0,0
"UD","GLC",15,40,200,0.99,0,0,0.01,0.955120242806603,0,0,0.00640054539860817
"UD","GLC",15,50,200,0.89,0,0,0.11,0.832287263817864,0,0,0.0838158214310354
"UD","GLC",20,0,200,1,0,0,0,0.989940923037745,0,0,0
"UD","GLC",20,10,200,1,0,0,0,0.988768080784793,0,0,0
"UD","GLC",20,20,200,0.99,0,0.01,0,0.980915681721118,0,0.0082234499161977,0
"UD","GLC",20,30,200,0.995,0,0.005,0,0.984805200547208,0,0.00368786660329438,0
"UD","GLC",20,40,200,0.985,0,0,0.015,0.957767692747683,0,0,0.0110316771444596
"UD","GLC",20,50,200,0.895,0,0,0.105,0.821739682095061,0,0,0.0831586874843169
"UD","GLC",25,0,200,1,0,0,0,0.989707656192798,0,0,0
"UD","GLC",25,10,200,1,0,0,0,0.988406600460147,0,0,0
"UD","GLC",25,20,200,1,0,0,0,0.987493685674684,0,0,0
"UD","GLC",25,30,200,0.99,0,0,0.01,0.978474218638359,0,0,0.00687189772883687
"UD","GLC",25,40,200,0.965,0,0,0.035,0.919798989620668,0,0,0.0217047278658586
"UD","GLC",25,50,200,0.82,0,0,0.18,0.749137902665008,0,0,0.141645775635109
"UD","CJ",0,0,200,1,0,0,0,0.995031084232261,0,0,0
"UD","CJ",0,10,200,0.985,0,0.015,0,0.930624655136937,0,0.0130426162425501,0
"UD","CJ",0,20,200,0.93,0,0.07,0,0.854637270170893,0,0.0607318361216419,0
"UD","CJ",0,30,200,0.95,0,0.05,0,0.865606627658101,0,0.0428517240865782,0
"UD","CJ",0,40,200,0.92,0,0.075,0.005,0.831094727972179,0,0.0651064314081595,0.00334389266954259
"UD","CJ",0,50,200,0.955,0,0.035,0.01,0.862919778191983,0,0.0281527463518289,0.00723551053283629
"UD","CJ",5,0,200,0.97,0,0.03,0,0.922367314094977,0,0.0234206943839223,0
"UD","CJ",5,10,200,0.995,0,0.005,0,0.961192547148742,0,0.00353395472276483,0
"UD","CJ",5,20,200,1,0,0,0,0.97119359868761,0,0,0
"UD","CJ",5,30,200,0.96,0,0.04,0,0.896580756905176,0,0.0306107958413835,0
"UD","CJ",5,40,200,0.905,0,0.08,0.015,0.806232604805089,0,0.0685976804092675,0.0114998424741927
"UD","CJ",5,50,200,0.92,0.005,0.055,0.02,0.793343282000463,0.00230222325352366,0.0397798232644542,0.0136502611639625
"UD","CJ",10,0,200,0.99,0,0.01,0,0.958709414147288,0,0.00800194593550781,0
"UD","CJ",10,10,200,0.99,0,0.01,0,0.957634340390666,0,0.00802530993236202,0
"UD","CJ",10,20,200,0.985,0,0.015,0,0.934876304945832,0,0.0133511184147783,0
"UD","CJ",10,30,200,0.975,0,0.025,0,0.92343698971757,0,0.0216486607977445,0
"UD","CJ",10,40,200,0.945,0,0.035,0.02,0.895926407756823,0,0.0269738143452474,0.0133260402512851
"UD","CJ",10,50,200,0.915,0.005,0.04,0.04,0.786960051904696,0.00179557571770358,0.0320228160087323,0.0254082992169603
"UD","CJ",15,0,200,0.97,0,0.03,0,0.935037902844028,0,0.025490486950957,0
"UD","CJ",15,10,200,0.99,0,0.01,0,0.948076711066826,0,0.00859000731433672,0
"UD","CJ",15,20,200,0.955,0,0.045,0,0.878924636318786,0,0.0405520437903344,0
"UD","CJ",15,30,200,0.975,0,0.025,0,0.924449185210937,0,0.0185015221186629,0
"UD","CJ",15,40,200,0.905,0,0.055,0.04,0.803957144591461,0,0.0485171857269503,0.0280957159333926
"UD","CJ",15,50,200,0.83,0,0.04,0.13,0.701175888856902,0,0.0348381517365651,0.0889819408967635
"UD","CJ",20,0,200,0.99,0,0.01,0,0.960321361438209,0,0.00988301759531999,0
"UD","CJ",20,10,200,0.965,0,0.035,0,0.91366004905381,0,0.0299619443273722,0
"UD","CJ",20,20,200,0.94,0,0.06,0,0.867543705853475,0,0.0531792970755661,0
"UD","CJ",20,30,200,0.955,0,0.04,0.005,0.900813586902486,0,0.0327472571552102,0.00403682118037709
"UD","CJ",20,40,200,0.92,0,0.04,0.04,0.781042334204641,0,0.0314418427624769,0.0246808515649258
"UD","CJ",20,50,200,0.905,0,0.035,0.06,0.789412402687138,0,0.0280109234757861,0.0397460404117001
"UD","CJ",25,0,200,0.955,0,0.045,0,0.875561802806158,0,0.0375905317496406,0
"UD","CJ",25,10,200,0.93,0,0.07,0,0.853105495645959,0,0.0580491198082127,0
"UD","CJ",25,20,200,0.95,0,0.05,0,0.841904528419473,0,0.0391797650884718,0
"UD","CJ",25,30,200,0.95,0,0.045,0.005,0.869194985937265,0,0.0352909199262965,0.00276133074727739
"UD","CJ",25,40,200,0.935,0,0.045,0.02,0.821113883697657,0,0.0346563830307088,0.0137931753733995
"UD","CJ",25,50,200,0.95,0,0.01,0.04,0.822487881653654,0,0.00901925620484172,0.0264271127697601
