"participant","categoryStructure","strategyType","perceptualNoise","boundaryNoise","Accuracy","UDX","UDY","GLC","RND","wBIC_UDX","wBIC_UDY","wBIC_GLC","wBIC_RND"
1,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
2,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
3,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
4,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
5,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
6,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
7,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
8,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
9,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
10,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
11,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
12,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
13,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
14,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
15,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
16,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
17,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
18,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
19,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
20,"II","UD",0,0,0.7625,1,0,0,0,1,6.06060689674542e-120,2.1029047236201e-58,0
1,"II","UD",0,10,0.7075,1,0,0,0,1,5.99495121627406e-58,2.65429748601978e-19,0
2,"II","UD",0,10,0.69,1,0,0,0,1,1.94488542065361e-54,2.92028681423973e-19,0
3,"II","UD",0,10,0.71,1,0,0,0,1,3.24166597979025e-59,9.7963838108839e-19,0
4,"II","UD",0,10,0.695,1,0,0,0,1,5.03684544554786e-56,5.47699471638415e-20,0
5,"II","UD",0,10,0.715,1,0,0,0,1,3.01462540865501e-54,4.85906134772028e-16,0
6,"II","UD",0,10,0.75,1,0,0,0,0.999999999991172,1.9936646326327e-55,8.82787436750992e-12,0
7,"II","UD",0,10,0.7375,1,0,0,0,1,4.21300233595763e-59,2.89120072583507e-16,0
8,"II","UD",0,10,0.71,1,0,0,0,1,7.83222287920066e-58,2.17370257205589e-18,0
9,"II","UD",0,10,0.6875,1,0,0,0,1,3.78871549057477e-56,1.47832045052989e-21,0
10,"II","UD",0,10,0.69,1,0,0,0,1,7.09403079087186e-62,7.15130488151284e-24,0
11,"II","UD",0,10,0.71,1,0,0,0,1,1.16902152405208e-61,8.16300186209172e-23,0
12,"II","UD",0,10,0.705,1,0,0,0,1,2.15468170139339e-61,2.33309328903953e-23,0
13,"II","UD",0,10,0.7125,1,0,0,0,1,1.460513857367e-58,6.51542951790662e-17,0
14,"II","UD",0,10,0.72,1,0,0,0,1,5.70399624079252e-58,1.55020462493634e-17,0
15,"II","UD",0,10,0.715,1,0,0,0,1,2.26732320451307e-55,3.22412188330615e-17,0
16,"II","UD",0,10,0.695,1,0,0,0,1,4.55126971170839e-58,6.14031381766576e-23,0
17,"II","UD",0,10,0.7075,1,0,0,0,1,1.519563480792e-61,4.24042894923155e-21,0
18,"II","UD",0,10,0.715,1,0,0,0,1,7.45073687429164e-62,6.54842461093054e-21,0
19,"II","UD",0,10,0.7125,1,0,0,0,1,3.15071210620134e-54,9.58292208529285e-18,0
20,"II","UD",0,10,0.695,1,0,0,0,1,2.40428419125973e-59,2.27305788006755e-23,0
1,"II","UD",0,20,0.675,1,0,0,0,0.999999446859689,1.9217006014274e-27,5.53140311156178e-07,0
2,"II","UD",0,20,0.6875,1,0,0,0,0.999991025792668,8.79893495987887e-28,8.97420733164241e-06,0
3,"II","UD",0,20,0.64,1,0,0,0,0.99999999901269,6.48837083907886e-27,9.87309863477909e-10,0
4,"II","UD",0,20,0.6675,1,0,0,0,0.999998897671304,1.06920373502452e-27,1.10232869586169e-06,0
5,"II","UD",0,20,0.6275,1,0,0,0,0.999999944804536,3.18893559543308e-21,5.51954640485169e-08,0
6,"II","UD",0,20,0.655,1,0,0,0,0.999999987219186,8.81197041511785e-27,1.27808140472442e-08,0
7,"II","UD",0,20,0.63,1,0,0,0,0.999999568785716,4.94456980370453e-23,4.31214284360806e-07,0
8,"II","UD",0,20,0.63,1,0,0,0,0.999999999889838,9.20709711976991e-24,1.10161964973574e-10,0
9,"II","UD",0,20,0.66,1,0,0,0,0.999999997967308,1.04469125053646e-30,2.03269190135232e-09,0
10,"II","UD",0,20,0.645,1,0,0,0,0.999999960995886,1.92091405512614e-25,3.90041140675368e-08,0
11,"II","UD",0,20,0.695,1,0,0,0,0.999999940862039,1.49875211840237e-33,5.91379612033337e-08,0
12,"II","UD",0,20,0.6425,1,0,0,0,0.999999999988367,6.42996666733951e-32,1.16329307197429e-11,0
13,"II","UD",0,20,0.6825,1,0,0,0,0.999996720894346,2.98276168516151e-28,3.27910565406972e-06,0
14,"II","UD",0,20,0.655,1,0,0,0,0.999990535686672,2.67568135302656e-23,9.46431332839066e-06,0
15,"II","UD",0,20,0.67,1,0,0,0,0.999999875726266,3.00022500862941e-31,1.24273733554635e-07,0
16,"II","UD",0,20,0.645,1,0,0,0,0.999927618694409,3.3749202569725e-19,7.238130559115e-05,0
17,"II","UD",0,20,0.695,1,0,0,0,0.999999965127756,3.59265829300008e-31,3.48722437414578e-08,0
18,"II","UD",0,20,0.66,1,0,0,0,0.999999986704966,1.49957382102835e-27,1.32950337747831e-08,0
19,"II","UD",0,20,0.695,1,0,0,0,0.999996568349451,6.85857279512108e-30,3.43165054851328e-06,0
20,"II","UD",0,20,0.6475,1,0,0,0,0.999999999952224,1.41227203396585e-32,4.77755770610684e-11,0
1,"II","UD",0,30,0.6375,1,0,0,0,0.996197719803874,6.07462934796344e-13,0.00380228006348135,0
2,"II","UD",0,30,0.58,1,0,0,0,0.999994102730825,5.59323491982935e-12,5.89719365987571e-06,0
3,"II","UD",0,30,0.62,1,0,0,0,0.999842871882849,1.54200141657124e-15,0.000157128116944951,0
4,"II","UD",0,30,0.605,1,0,0,0,0.999637006879187,7.32275555471788e-12,0.000362991925625326,0
5,"II","UD",0,30,0.6075,1,0,0,0,0.999285364155306,4.48045611820505e-15,0.000714635844470411,0
6,"II","UD",0,30,0.6275,1,0,0,0,0.999992140333357,6.64239354053783e-19,7.85966664261097e-06,0
7,"II","UD",0,30,0.6425,1,0,0,0,0.962986565922612,1.14558344011172e-12,0.0370134336907994,0
8,"II","UD",0,30,0.625,1,0,0,0,0.999761135041209,1.81871729860113e-15,0.000238864958248974,0
9,"II","UD",0,30,0.6025,1,0,0,0,0.999992243963701,2.55555886631249e-13,7.75602887722109e-06,0
10,"II","UD",0,30,0.6025,1,0,0,0,0.983314822356106,1.99795818429868e-08,0.016679530125551,0
11,"II","UD",0,30,0.6025,1,0,0,0,0.999903519524376,1.36222048943436e-12,9.64803068725822e-05,0
12,"II","UD",0,30,0.5925,1,0,0,0,0.99935309674241,1.4978987797528e-10,0.000646884882165675,0
13,"II","UD",0,30,0.6175,1,0,0,0,0.999950015633982,6.88568286495225e-15,4.99843651384028e-05,0
14,"II","UD",0,30,0.645,1,0,0,0,0.978285917565808,2.35364104915648e-13,0.0217140823437517,0
15,"II","UD",0,30,0.6,1,0,0,0,0.999962377412471,5.26521494803988e-12,3.76223709865837e-05,0
16,"II","UD",0,30,0.595,1,0,0,0,0.992681475409767,2.71829925367872e-09,0.00731848901273125,0
17,"II","UD",0,30,0.6325,1,0,0,0,0.999845503372572,9.33949598363822e-16,0.000154496627211733,0
18,"II","UD",0,30,0.5925,1,0,0,0,0.998967311003312,2.04418693712222e-09,0.00103252478503978,0
19,"II","UD",0,30,0.6075,1,0,0,0,0.998415330356699,4.34537764765892e-09,0.0015842604952019,0
20,"II","UD",0,30,0.635,1,0,0,0,0.999857140463272,1.22983634295722e-15,0.00014285953640943,0
1,"II","UD",0,40,0.595,1,0,0,0,0.999504223429222,1.63778360661176e-09,0.000495514139978526,0
2,"II","UD",0,40,0.545,1,0,0,0,0.797284498582696,0.00121345388574379,0.00454720603954324,0
3,"II","UD",0,40,0.6075,1,0,0,0,0.995142081412443,9.43294264109036e-09,0.00485473455396999,0
4,"II","UD",0,40,0.5625,1,0,0,0,0.99995375679881,4.10989288325274e-08,4.57306744541427e-05,0
5,"II","UD",0,40,0.5875,1,0,0,0,0.996350811000908,1.08045880281457e-08,0.00364733640446475,0
6,"II","UD",0,40,0.5675,1,0,0,0,0.979330680072323,4.41041396072645e-05,0.00857978513620141,0
7,"II","UD",0,40,0.59,1,0,0,0,0.99860814487322,3.39966223623429e-08,0.00139085814946787,0
8,"II","UD",0,40,0.5725,1,0,0,0,0.997519264581362,1.10923361688165e-06,0.00231179652272279,0
9,"II","UD",0,40,0.62,1,0,0,0,0.982362159943793,9.51619274463501e-10,0.0176374683629412,0
10,"II","UD",0,40,0.58,1,0,0,0,0.999821221198586,1.43667251843029e-08,0.000178437651580461,0
11,"II","UD",0,40,0.59,1,0,0,0,0.998887227175334,1.58974543265421e-07,0.00110702499240487,0
12,"II","UD",0,40,0.5425,1,0,0,0,0.999978110721221,1.37371670067805e-06,1.92518656196379e-05,0
13,"II","UD",0,40,0.535,1,0,0,0,0.999882055419838,0.000107711645680125,7.81728897138877e-06,0
14,"II","UD",0,40,0.5725,1,0,0,0,0.999907487474369,2.72649263887019e-09,9.24600191926009e-05,0
15,"II","UD",0,40,0.565,1,0,0,0,0.99993763088358,7.05413970082947e-08,6.12658334192106e-05,0
16,"II","UD",0,40,0.555,1,0,0,0,0.999718250444557,6.54241311681819e-06,0.000202271727954702,0
17,"II","UD",0,40,0.5675,1,0,0,0,0.999984712121258,7.32945340069795e-10,1.52788600348107e-05,0
18,"II","UD",0,40,0.6075,1,0,0,0,0.998807779606803,4.17272166926495e-10,0.00119210275944647,0
19,"II","UD",0,40,0.57,1,0,0,0,0.999983777380653,8.64384970122146e-09,1.61626648467827e-05,0
20,"II","UD",0,40,0.5775,1,0,0,0,0.999846103907489,8.08638992104145e-09,0.000153706790253855,0
1,"II","UD",0,50,0.58,1,0,0,0,0.997448347887535,1.49962814414232e-06,0.00223750625745653,0
2,"II","UD",0,50,0.5975,1,0,0,0,0.998704726801016,1.70366921472707e-08,0.00129117979748387,0
3,"II","UD",0,50,0.5875,1,0,0,0,0.998651459610566,2.24611758332027e-07,0.00130980818705495,0
4,"II","UD",0,50,0.575,1,0,0,0,0.99695662551124,1.09374096947853e-05,0.00169945467011684,0
5,"II","UD",0,50,0.6,1,0,0,0,0.938232964581677,3.73983383473539e-06,0.0603626006345193,0
6,"II","UD",0,50,0.5875,1,0,0,0,0.99955330649427,8.79036842468989e-09,0.000446252453116607,0
7,"II","UD",0,50,0.5925,1,0,0,0,0.996554271601583,9.75805272187487e-08,0.00342179203635922,0
8,"II","UD",0,50,0.5725,1,0,0,0,0.98320538508793,1.61587599542056e-05,0.0108400193384648,0
9,"II","UD",0,50,0.5825,1,0,0,0,0.999776332881734,1.38157130314954e-07,0.000221415013003357,0
10,"II","UD",0,50,0.545,1,0,0,0,0.774665298127851,0.00075186427351422,0.0080048002416393,0
11,"II","UD",0,50,0.615,1,0,0,0,0.733047261143951,7.94183823663503e-07,0.266771318463432,0
12,"II","UD",0,50,0.5725,1,0,0,0,0.999902028587647,4.21618712924695e-09,9.78283800705627e-05,0
13,"II","UD",0,50,0.545,1,0,0,0,0.99299143823572,0.000284586792137538,0.000687339190797661,0
14,"II","UD",0,50,0.5825,1,0,0,0,0.963555474087337,1.83688055385226e-05,0.029009303516977,0
15,"II","UD",0,50,0.575,1,0,0,0,0.997913966946791,4.91580977779797e-08,0.0020792266281623,0
16,"II","UD",0,50,0.5725,1,0,0,0,0.984891845582824,2.68546028196232e-05,0.00715642988852838,0
17,"II","UD",0,50,0.53,1,0,0,0,0.993427260087507,0.00180885243844492,0.000414923813034501,0
18,"II","UD",0,50,0.5525,1,0,0,0,0.993356379074595,7.14227724402973e-05,0.0013520591258115,0
19,"II","UD",0,50,0.55,1,0,0,0,0.915062587356574,0.00041895390634904,0.00527181413958547,0
20,"II","UD",0,50,0.59,1,0,0,0,0.536702429916678,0.00133607109197087,0.0437666352877672,0
1,"II","UD",5,0,0.7575,1,0,0,0,1,1.3529957716683e-94,3.38881204416697e-37,0
2,"II","UD",5,0,0.7525,1,0,0,0,1,9.82346927294905e-91,1.18508207255871e-31,0
3,"II","UD",5,0,0.7325,1,0,0,0,1,5.34860342649264e-88,9.85182262325462e-38,0
4,"II","UD",5,0,0.7275,1,0,0,0,1,7.00706893225979e-87,6.80561933658694e-37,0
5,"II","UD",5,0,0.735,1,0,0,0,1,7.83107249885193e-82,1.1825591820193e-30,0
6,"II","UD",5,0,0.7475,1,0,0,0,1,3.20799290313198e-93,1.49614129325266e-36,0
7,"II","UD",5,0,0.745,1,0,0,0,1,2.27267341696543e-83,1.26244829335071e-30,0
8,"II","UD",5,0,0.715,1,0,0,0,1,8.61991349495589e-81,8.65176022527977e-36,0
9,"II","UD",5,0,0.7375,1,0,0,0,1,2.43111600128259e-90,2.10011019834875e-38,0
10,"II","UD",5,0,0.73,1,0,0,0,1,5.49821536122484e-89,2.47251400814439e-37,0
11,"II","UD",5,0,0.76,1,0,0,0,1,5.48190248965306e-87,1.67433929147636e-29,0
12,"II","UD",5,0,0.7475,1,0,0,0,1,2.17406462545416e-89,2.65456842337833e-34,0
13,"II","UD",5,0,0.7675,1,0,0,0,1,2.82040836304114e-84,4.665306700343e-27,0
14,"II","UD",5,0,0.755,1,0,0,0,1,2.11985371141568e-86,8.88832794846722e-31,0
15,"II","UD",5,0,0.7425,1,0,0,0,1,5.57060465389755e-84,7.02186556971506e-30,0
16,"II","UD",5,0,0.745,1,0,0,0,1,1.69322182977203e-87,7.99099006313533e-35,0
17,"II","UD",5,0,0.7475,1,0,0,0,1,1.64101330554331e-84,1.04609714093507e-30,0
18,"II","UD",5,0,0.74,1,0,0,0,1,1.35661725093715e-82,2.20109255592738e-30,0
19,"II","UD",5,0,0.7575,1,0,0,0,1,4.48863614812728e-88,2.55698265048087e-30,0
20,"II","UD",5,0,0.7575,1,0,0,0,1,6.49021168410875e-86,1.8081176498079e-29,0
1,"II","UD",5,10,0.6925,1,0,0,0,1,1.34867801220784e-48,4.44953081735089e-16,0
2,"II","UD",5,10,0.73,1,0,0,0,1,3.16141717693343e-58,1.15497878521904e-17,0
3,"II","UD",5,10,0.7025,1,0,0,0,1,2.96930542318162e-53,5.94560743453037e-19,0
4,"II","UD",5,10,0.7175,1,0,0,0,0.999999999999218,1.33574693780568e-48,7.82152449667434e-13,0
5,"II","UD",5,10,0.715,1,0,0,0,0.999999999999999,4.74100207342643e-53,8.14743536184028e-16,0
6,"II","UD",5,10,0.6775,1,0,0,0,1,7.15816589443799e-51,6.8192631987904e-20,0
7,"II","UD",5,10,0.6925,1,0,0,0,1,2.19951379196874e-48,4.61701742516971e-16,0
8,"II","UD",5,10,0.715,1,0,0,0,0.999999999966966,2.70392063082177e-46,3.30344123952543e-11,0
9,"II","UD",5,10,0.695,1,0,0,0,1,3.47377986745277e-49,6.41740253539787e-17,0
10,"II","UD",5,10,0.7125,1,0,0,0,0.999999999999774,5.48147520476419e-51,2.26315507322328e-13,0
11,"II","UD",5,10,0.7,1,0,0,0,1,9.97999543896735e-54,5.99488854426595e-17,0
12,"II","UD",5,10,0.685,1,0,0,0,1,2.63282041828241e-48,2.40386880314662e-18,0
13,"II","UD",5,10,0.725,1,0,0,0,1,2.36356616105195e-59,2.12777287282054e-17,0
14,"II","UD",5,10,0.75,1,0,0,0,0.999999997619558,4.22419448983755e-53,2.38044233620243e-09,0
15,"II","UD",5,10,0.7225,1,0,0,0,0.999999999992646,4.31484650861621e-49,7.35440175772512e-12,0
16,"II","UD",5,10,0.67,1,0,0,0,1,7.23559532964189e-46,2.19622355035653e-18,0
17,"II","UD",5,10,0.7075,1,0,0,0,1,3.56176056654402e-57,4.160074835759e-18,0
18,"II","UD",5,10,0.7075,1,0,0,0,0.999999999999484,3.02837041538788e-47,5.15642054524079e-13,0
19,"II","UD",5,10,0.7125,1,0,0,0,1,8.01810685174383e-52,2.50081639736865e-16,0
20,"II","UD",5,10,0.69,1,0,0,0,1,2.24003974262049e-51,1.95702257177118e-16,0
1,"II","UD",5,20,0.705,1,0,0,0,0.999674086724469,5.80767482519277e-27,0.000325913275530584,0
2,"II","UD",5,20,0.6625,1,0,0,0,0.99999974307044,2.72704620338707e-28,2.56929559655832e-07,0
3,"II","UD",5,20,0.6525,1,0,0,0,0.999999993497433,6.18112713009071e-27,6.5025667251977e-09,0
4,"II","UD",5,20,0.655,1,0,0,0,0.999993592731428,8.74788237242383e-22,6.40726857189846e-06,0
5,"II","UD",5,20,0.635,1,0,0,0,0.999997241562106,2.8373840036286e-20,2.75843789395188e-06,0
6,"II","UD",5,20,0.64,1,0,0,0,0.999958959763642,2.03433680687001e-18,4.10402363575479e-05,0
7,"II","UD",5,20,0.645,1,0,0,0,0.999999906659509,6.9418471857463e-24,9.3340491318537e-08,0
8,"II","UD",5,20,0.665,1,0,0,0,0.999995740966254,2.56326700482427e-25,4.25903374595834e-06,0
9,"II","UD",5,20,0.63,1,0,0,0,0.999997832495919,1.00263049357979e-19,2.16750408150585e-06,0
10,"II","UD",5,20,0.6875,1,0,0,0,0.999997313567035,2.25379573210608e-28,2.68643296473902e-06,0
11,"II","UD",5,20,0.6525,1,0,0,0,0.999999977856522,2.02152633011816e-25,2.21434782969693e-08,0
12,"II","UD",5,20,0.635,1,0,0,0,0.999999300795805,5.97850682778278e-22,6.99204195171022e-07,0
13,"II","UD",5,20,0.655,1,0,0,0,0.999999913255134,8.68855382805593e-24,8.67448658517773e-08,0
14,"II","UD",5,20,0.65,1,0,0,0,0.999999888529994,2.6390761185044e-24,1.11470005797834e-07,0
15,"II","UD",5,20,0.675,1,0,0,0,0.999996673360008,3.48933002766897e-27,3.3266399923803e-06,0
16,"II","UD",5,20,0.68,1,0,0,0,0.999999999073549,3.72944105958169e-31,9.26450757177994e-10,0
17,"II","UD",5,20,0.6925,1,0,0,0,0.999999977483586,7.50295751971015e-32,2.25164138832848e-08,0
18,"II","UD",5,20,0.6625,1,0,0,0,0.999999112722233,4.68680799730148e-25,8.87277767114688e-07,0
19,"II","UD",5,20,0.6325,1,0,0,0,0.999998815230371,2.14985411559182e-20,1.1847696284736e-06,0
20,"II","UD",5,20,0.66,1,0,0,0,0.999960153886065,8.01474337206294e-19,3.98461139352828e-05,0
1,"II","UD",5,30,0.645,1,0,0,0,0.999903620468169,1.88013900298092e-18,9.63795318306191e-05,0
2,"II","UD",5,30,0.6,1,0,0,0,0.999826426483183,2.08259602482381e-10,0.000173557782234333,0
3,"II","UD",5,30,0.615,1,0,0,0,0.999693795638017,1.88931022298144e-12,0.000306203903502991,0
4,"II","UD",5,30,0.6075,1,0,0,0,0.998574181227701,3.31224600844535e-11,0.0014258134920995,0
5,"II","UD",5,30,0.63,1,0,0,0,0.999905662310763,2.29355720318807e-15,9.43376888335879e-05,0
6,"II","UD",5,30,0.5775,1,0,0,0,0.999941273595937,5.39991784718102e-10,5.87034839120593e-05,0
7,"II","UD",5,30,0.6025,1,0,0,0,0.999854593386201,2.92356570445814e-11,0.000145404463385381,0
8,"II","UD",5,30,0.6075,1,0,0,0,0.999640279770116,2.45125415507577e-12,0.000359719767731726,0
9,"II","UD",5,30,0.5975,1,0,0,0,0.999995210716483,1.06372841260969e-14,4.78928323576976e-06,0
10,"II","UD",5,30,0.64,1,0,0,0,0.99999037294348,2.95615585732639e-20,9.62705651957735e-06,0
11,"II","UD",5,30,0.61,1,0,0,0,0.999999937902798,1.14424381136362e-16,6.20972015817606e-08,0
12,"II","UD",5,30,0.6425,1,0,0,0,0.999936742568277,1.31328815535608e-19,6.32574317232466e-05,0
13,"II","UD",5,30,0.575,1,0,0,0,0.999939825528078,2.51702049020239e-09,6.0165127906277e-05,0
14,"II","UD",5,30,0.645,1,0,0,0,0.999681691667642,1.36901066483262e-15,0.000318308332115066,0
15,"II","UD",5,30,0.635,1,0,0,0,0.999600029549833,6.0785858670621e-16,0.000399970450060285,0
16,"II","UD",5,30,0.6,1,0,0,0,0.999996026642745,3.82027919376398e-14,3.97335641796384e-06,0
17,"II","UD",5,30,0.675,1,0,0,0,0.995456732911673,6.57141471881552e-18,0.00454326708832397,0
18,"II","UD",5,30,0.62,1,0,0,0,0.999923409209917,1.40718041381411e-15,7.65907898200144e-05,0
19,"II","UD",5,30,0.615,1,0,0,0,0.998173008422545,8.97720988216814e-11,0.00182696763607821,0
20,"II","UD",5,30,0.6525,1,0,0,0,0.999257335984841,1.57394499490617e-18,0.000742664015158606,0
1,"II","UD",5,40,0.615,1,0,0,0,0.999378860976549,1.17383428098537e-11,0.000621137136221277,0
2,"II","UD",5,40,0.6175,1,0,0,0,0.999147730135073,2.00837455651544e-11,0.000852264155659698,0
3,"II","UD",5,40,0.6025,1,0,0,0,0.992303537516725,4.78853559528024e-08,0.00768511500107373,0
4,"II","UD",5,40,0.5575,1,0,0,0,0.98781857340293,9.01231106332826e-05,0.00373015713482504,0
5,"II","UD",5,40,0.56,1,0,0,0,0.995754973495328,5.90440439410348e-05,0.00239730389241738,0
6,"II","UD",5,40,0.5975,1,0,0,0,0.999578185030951,4.89263958628124e-09,0.000421295950614542,0
7,"II","UD",5,40,0.5825,1,0,0,0,0.997801522607393,1.60753451788673e-06,0.00193497107882165,0
8,"II","UD",5,40,0.5775,1,0,0,0,0.99960287668442,2.98582375411689e-09,0.000396774689177694,0
9,"II","UD",5,40,0.59,1,0,0,0,0.998245928900959,2.10090796388811e-09,0.00175382493377562,0
10,"II","UD",5,40,0.5575,1,0,0,0,0.999938766586763,3.29817120559545e-07,5.96622470533291e-05,0
11,"II","UD",5,40,0.605,1,0,0,0,0.999988688451957,1.49000052796588e-12,1.13114992110344e-05,0
12,"II","UD",5,40,0.6025,1,0,0,0,0.997191748453118,1.71906583602605e-09,0.00280781312959519,0
13,"II","UD",5,40,0.585,1,0,0,0,0.996080960479184,3.62396527924483e-07,0.00384172924196161,0
14,"II","UD",5,40,0.5675,1,0,0,0,0.999616575002382,3.5398825546024e-07,0.000362768525816785,0
15,"II","UD",5,40,0.62,1,0,0,0,0.996919158357949,4.26850241430357e-11,0.00308082589656057,0
16,"II","UD",5,40,0.615,1,0,0,0,0.990881960736524,3.07323473147913e-10,0.00911796802755407,0
17,"II","UD",5,40,0.575,1,0,0,0,0.983992607656579,9.22196191347854e-05,0.00512241402565402,0
18,"II","UD",5,40,0.595,1,0,0,0,0.999970838759929,4.28619446160436e-12,2.91611111520552e-05,0
19,"II","UD",5,40,0.5825,1,0,0,0,0.999768175722265,7.9470104645471e-09,0.000231280609175918,0
20,"II","UD",5,40,0.5475,1,0,0,0,0.994986441500487,0.000198678458097077,0.000665758301800402,0
1,"II","UD",5,50,0.575,1,0,0,0,0.942609204152746,9.51357957624503e-05,0.0358124287062027,0
2,"II","UD",5,50,0.5925,1,0,0,0,0.982296912997911,2.73142621915425e-06,0.0165847526833113,0
3,"II","UD",5,50,0.57,1,0,0,0,0.99989317330793,3.05652697454781e-08,0.000106691389121388,0
4,"II","UD",5,50,0.53,1,0,0,0,0.984797375246209,0.000566088891897838,0.00142482374509925,0
5,"II","UD",5,50,0.5275,1,0,0,0,0.797936452817948,0.00852433187036318,0.00456631470248984,0
6,"II","UD",5,50,0.5325,1,0,0,0,0.539058335555294,0.00514922926434205,0.00486835921545148,0
7,"II","UD",5,50,0.54,0,0,0,1,0.348396332711485,0.00223567046872343,0.00520434310171389,0
8,"II","UD",5,50,0.5075,0,0,0,1,0.0852316822136893,0.0204451066750907,0.00083839723186591,0
9,"II","UD",5,50,0.5775,1,0,0,0,0.9395338643178,0.000186980107671632,0.0207715699825532,0
10,"II","UD",5,50,0.565,1,0,0,0,0.99683781011725,2.33315158839505e-06,0.00270804881628856,0
11,"II","UD",5,50,0.5625,1,0,0,0,0.994198022220556,6.45093297483923e-05,0.00486521226774983,0
12,"II","UD",5,50,0.545,1,0,0,0,0.949145044252615,0.000581582031874234,0.00342097875124338,0
13,"II","UD",5,50,0.5425,1,0,0,0,0.999926541678502,1.34759773721013e-05,4.30708755289878e-05,0
14,"II","UD",5,50,0.565,1,0,0,0,0.984669198133485,4.73590779305777e-05,0.010011269570453,0
15,"II","UD",5,50,0.6125,1,0,0,0,0.851572567876902,5.03578836091846e-06,0.147479212294877,0
16,"II","UD",5,50,0.61,1,0,0,0,0.917104112014686,3.02998111736063e-08,0.0828865674307636,0
17,"II","UD",5,50,0.54,1,0,0,0,0.794995059615624,0.00249740773676185,0.00295002804299855,0
18,"II","UD",5,50,0.585,1,0,0,0,0.989694149869129,1.01923282484692e-06,0.00996012494956636,0
19,"II","UD",5,50,0.5825,1,0,0,0,0.998792512767975,2.93053725149847e-08,0.00120151607599951,0
20,"II","UD",5,50,0.5625,1,0,0,0,0.770064737222278,0.0006505828380919,0.01056155560259,0
1,"II","UD",10,0,0.745,1,0,0,0,0.999999999986099,3.56276414823992e-54,1.39007828234084e-11,0
2,"II","UD",10,0,0.71,1,0,0,0,1,3.59865300851983e-59,3.4335451131314e-20,0
3,"II","UD",10,0,0.7325,1,0,0,0,1,1.59440805249795e-66,3.74873812118824e-21,0
4,"II","UD",10,0,0.72,1,0,0,0,1,1.07467387289237e-60,1.24956500142345e-17,0
5,"II","UD",10,0,0.7375,1,0,0,0,0.999999999999686,1.11938790082954e-55,3.14218975510277e-13,0
6,"II","UD",10,0,0.7,1,0,0,0,1,3.22602098783497e-56,3.19646614929047e-20,0
7,"II","UD",10,0,0.73,1,0,0,0,1,2.85945251097596e-65,5.19000495522353e-22,0
8,"II","UD",10,0,0.7225,1,0,0,0,1,1.03017150398043e-55,2.85368582293195e-17,0
9,"II","UD",10,0,0.71,1,0,0,0,0.999999999999957,4.4009234068019e-50,4.32910564652553e-14,0
10,"II","UD",10,0,0.675,1,0,0,0,1,2.56503847025128e-53,7.50787838262699e-21,0
11,"II","UD",10,0,0.6825,1,0,0,0,1,3.79112157809601e-49,4.82194535708063e-17,0
12,"II","UD",10,0,0.69,1,0,0,0,1,1.97979626273354e-50,5.22629049644556e-19,0
13,"II","UD",10,0,0.705,1,0,0,0,1,6.27066458759893e-57,1.19980220544748e-19,0
14,"II","UD",10,0,0.72,1,0,0,0,1,1.42234735180933e-62,1.57682100139466e-20,0
15,"II","UD",10,0,0.73,1,0,0,0,0.99999999999997,4.98096229773781e-54,3.02383692880889e-14,0
16,"II","UD",10,0,0.735,1,0,0,0,1,2.08772920744614e-59,1.8679316849549e-17,0
17,"II","UD",10,0,0.715,1,0,0,0,0.999999999999996,1.00702141187169e-53,3.59826465446458e-15,0
18,"II","UD",10,0,0.73,1,0,0,0,0.999999999999999,2.35822004626261e-58,5.73655994143145e-16,0
19,"II","UD",10,0,0.73,1,0,0,0,1,1.31435259729663e-61,1.49800628054984e-17,0
