"","cond","subj","block","trial","stim","resp","rt"
"156","neutral",11,8,6,8,"B",6350
"157","neutral",11,8,7,9,"B",1081
"158","neutral",11,8,8,6,"B",796
"159","neutral",11,8,9,4,"A",1282
"160","neutral",11,8,10,3,"A",2344
"161","neutral",12,1,1,9,"B",32513
"162","neutral",12,1,2,5,"A",14395
"163","neutral",12,1,3,6,"B",4371
"164","neutral",12,1,4,1,"A",2944
"165","neutral",12,1,5,10,"B",5327
"166","neutral",12,1,6,7,"B",7036
"167","neutral",12,1,7,3,"B",2749
"168","neutral",12,1,8,4,"A",4249
"169","neutral",12,1,9,8,"A",13364
"170","neutral",12,1,10,2,"A",1827
"171","neutral",12,2,1,5,"A",5042
"172","neutral",12,2,2,6,"B",6509
"173","neutral",12,2,3,8,"A",2313
"174","neutral",12,2,4,10,"B",1281
"175","neutral",12,2,5,2,"A",1907
"176","neutral",12,2,6,3,"B",1354
"177","neutral",12,2,7,1,"A",1234
"178","neutral",12,2,8,7,"B",1034
"179","neutral",12,2,9,9,"B",1759
"180","neutral",12,2,10,4,"A",1013
"181","neutral",12,3,1,10,"B",5045
"182","neutral",12,3,2,9,"B",1320
"183","neutral",12,3,3,7,"B",2227
"184","neutral",12,3,4,8,"A",1950
"185","neutral",12,3,5,4,"A",807
"186","neutral",12,3,6,1,"A",605
"187","neutral",12,3,7,3,"B",607
"188","neutral",12,3,8,2,"A",646
"189","neutral",12,3,9,5,"A",680
"190","neutral",12,3,10,6,"B",688
"191","neutral",12,4,1,8,"A",2266
"192","neutral",12,4,2,10,"B",527
"193","neutral",12,4,3,9,"B",492
"194","neutral",12,4,4,6,"B",610
"195","neutral",12,4,5,7,"B",519
"196","neutral",12,4,6,1,"A",721
"197","neutral",12,4,7,4,"A",1357
"198","neutral",12,4,8,2,"A",684
"199","neutral",12,4,9,3,"B",601
"200","neutral",12,4,10,5,"A",879
"201","neutral",12,5,1,2,"A",1397
"202","neutral",12,5,2,3,"B",1648
"203","neutral",12,5,3,5,"A",995
