"","cond","subj","block","trial","stim","resp","rt"
"671","neutral",4,4,1,10,"B",928
"672","neutral",4,4,2,4,"A",1197
"673","neutral",4,4,3,2,"B",769
"674","neutral",4,4,4,9,"B",648
"675","neutral",4,4,5,6,"B",761
"676","neutral",4,4,6,1,"A",735
"677","neutral",4,4,7,7,"A",773
"678","neutral",4,4,8,8,"B",811
"679","neutral",4,4,9,3,"A",760
"680","neutral",4,4,10,5,"A",689
"681","neutral",4,5,1,1,"A",841
"682","neutral",4,5,2,5,"A",728
"683","neutral",4,5,3,10,"B",443
"684","neutral",4,5,4,8,"A",411
"685","neutral",4,5,5,9,"B",1475
"686","neutral",4,5,6,2,"B",846
"687","neutral",4,5,7,3,"A",800
"688","neutral",4,5,8,4,"A",563
"689","neutral",4,5,9,6,"B",603
"690","neutral",4,5,10,7,"A",804
"691","neutral",4,6,1,6,"B",731
"692","neutral",4,6,2,5,"A",564
"693","neutral",4,6,3,9,"B",682
"694","neutral",4,6,4,2,"B",484
"695","neutral",4,6,5,1,"A",566
"696","neutral",4,6,6,3,"A",485
"697","neutral",4,6,7,8,"B",567
"698","neutral",4,6,8,10,"B",525
"699","neutral",4,6,9,4,"A",492
"700","neutral",4,6,10,7,"A",520
"701","neutral",4,7,1,1,"A",643
"702","neutral",4,7,2,4,"B",453
"703","neutral",4,7,3,9,"B",568
"704","neutral",4,7,4,2,"B",578
"705","neutral",4,7,5,10,"B",566
"706","neutral",4,7,6,6,"B",605
"707","neutral",4,7,7,3,"A",568
"708","neutral",4,7,8,8,"B",509
"709","neutral",4,7,9,5,"A",478
"710","neutral",4,7,10,7,"A",570
"711","neutral",4,8,1,8,"B",1919
"712","neutral",4,8,2,3,"A",483
"713","neutral",4,8,3,9,"B",406
"714","neutral",4,8,4,6,"B",610
"715","neutral",4,8,5,10,"B",522
"716","neutral",4,8,6,7,"A",488
"717","neutral",4,8,7,1,"A",419
"718","neutral",4,8,8,4,"A",413
"719","neutral",4,8,9,5,"A",445
"720","neutral",4,8,10,2,"A",484
"721","neutral",5,1,1,1,"A",3787
"722","neutral",5,1,2,5,"A",1327
"723","neutral",5,1,3,7,"A",929
"724","neutral",5,1,4,9,"B",959
"725","neutral",5,1,5,8,"B",888
"726","neutral",5,1,6,10,"B",858
"727","neutral",5,1,7,6,"B",681
"728","neutral",5,1,8,4,"A",800
"729","neutral",5,1,9,3,"A",1118
"730","neutral",5,1,10,2,"B",1079
"731","neutral",5,2,1,7,"A",2275
"732","neutral",5,2,2,2,"B",607
"733","neutral",5,2,3,9,"B",1604
"734","neutral",5,2,4,8,"B",962
"735","neutral",5,2,5,6,"B",810
"736","neutral",5,2,6,3,"A",801
"737","neutral",5,2,7,5,"A",643
"738","neutral",5,2,8,1,"A",611
"739","neutral",5,2,9,4,"A",959
"740","neutral",5,2,10,10,"B",967
"741","neutral",5,3,1,4,"A",2550
"742","neutral",5,3,2,2,"A",650
"743","neutral",5,3,3,3,"A",606
"744","neutral",5,3,4,9,"B",928
"745","neutral",5,3,5,6,"B",2150
"746","neutral",5,3,6,5,"A",650
"747","neutral",5,3,7,10,"B",803
"748","neutral",5,3,8,7,"A",817
"749","neutral",5,3,9,8,"B",796
"750","neutral",5,3,10,1,"A",768
"751","neutral",5,4,1,1,"A",930
"752","neutral",5,4,2,4,"A",682
"753","neutral",5,4,3,10,"B",721
"754","neutral",5,4,4,5,"A",578
"755","neutral",5,4,5,3,"A",610
"756","neutral",5,4,6,7,"A",755
"757","neutral",5,4,7,2,"A",486
"758","neutral",5,4,8,9,"B",845
"759","neutral",5,4,9,6,"B",692
"760","neutral",5,4,10,8,"B",919
"761","neutral",5,5,1,4,"A",689
"762","neutral",5,5,2,8,"A",570
"763","neutral",5,5,3,5,"A",1046
"764","neutral",5,5,4,7,"B",1277
"765","neutral",5,5,5,10,"B",1019
"766","neutral",5,5,6,9,"B",1166
"767","neutral",5,5,7,3,"A",763
"768","neutral",5,5,8,6,"B",772
"769","neutral",5,5,9,2,"B",1087
"770","neutral",5,5,10,1,"A",1004
"771","neutral",5,6,1,1,"A",839
"772","neutral",5,6,2,5,"A",647
"773","neutral",5,6,3,9,"B",1208
"774","neutral",5,6,4,4,"A",1287
"775","neutral",5,6,5,10,"B",1401
"776","neutral",5,6,6,8,"B",962
"777","neutral",5,6,7,2,"B",1207
"778","neutral",5,6,8,3,"A",888
"779","neutral",5,6,9,7,"A",1243
"780","neutral",5,6,10,6,"B",1088
"781","neutral",5,7,1,2,"B",1366
"782","neutral",5,7,2,5,"A",763
"783","neutral",5,7,3,4,"A",760
"784","neutral",5,7,4,10,"B",730
"785","neutral",5,7,5,8,"B",684
"786","neutral",5,7,6,6,"B",539
"787","neutral",5,7,7,7,"A",1817
"788","neutral",5,7,8,1,"A",1045
"789","neutral",5,7,9,3,"A",720
"790","neutral",5,7,10,9,"A",566
"791","neutral",5,8,1,4,"A",880
"792","neutral",5,8,2,2,"B",959
"793","neutral",5,8,3,8,"B",766
"794","neutral",5,8,4,1,"A",764
"795","neutral",5,8,5,10,"B",1080
"796","neutral",5,8,6,7,"A",898
"797","neutral",5,8,7,3,"A",956
"798","neutral",5,8,8,9,"B",1441
"799","neutral",5,8,9,5,"A",1044
"800","neutral",5,8,10,6,"B",1486
"801","neutral",6,1,1,6,"B",96593
"802","neutral",6,1,2,8,"B",2354
"803","neutral",6,1,3,4,"A",2524
"804","neutral",6,1,4,5,"A",1647
"805","neutral",6,1,5,9,"B",1401
"806","neutral",6,1,6,2,"B",1374
"807","neutral",6,1,7,7,"A",1064
"808","neutral",6,1,8,1,"A",1445
"809","neutral",6,1,9,10,"B",1848
"810","neutral",6,1,10,3,"A",1442
"811","neutral",6,2,1,7,"A",3461
"812","neutral",6,2,2,5,"A",1558
"813","neutral",6,2,3,2,"B",7359
"814","neutral",6,2,4,10,"B",2392
"815","neutral",6,2,5,6,"B",4814
"816","neutral",6,2,6,3,"A",1634
"817","neutral",6,2,7,4,"A",3303
"818","neutral",6,2,8,8,"B",3628
"819","neutral",6,2,9,9,"B",2085
"820","neutral",6,2,10,1,"A",1559
"821","neutral",6,3,1,9,"B",3503
"822","neutral",6,3,2,5,"A",1957
"823","neutral",6,3,3,4,"A",1919
"824","neutral",6,3,4,8,"B",1794
"825","neutral",6,3,5,1,"A",1364
"826","neutral",6,3,6,2,"A",5527
"827","neutral",6,3,7,10,"A",2911
"828","neutral",6,3,8,3,"A",1480
"829","neutral",6,3,9,7,"B",1538
"830","neutral",6,3,10,6,"B",3351
"831","neutral",6,4,1,4,"A",3827
"832","neutral",6,4,2,8,"B",2552
"833","neutral",6,4,3,1,"A",993
"834","neutral",6,4,4,7,"B",1060
"835","neutral",6,4,5,9,"B",3119
"836","neutral",6,4,6,10,"B",2589
"837","neutral",6,4,7,6,"B",1515
"838","neutral",6,4,8,5,"A",3153
"839","neutral",6,4,9,3,"A",6283
"840","neutral",6,4,10,2,"A",2962
"841","neutral",6,5,1,5,"A",9780
"842","neutral",6,5,2,9,"B",1843
"843","neutral",6,5,3,2,"A",1921
"844","neutral",6,5,4,3,"A",3284
"845","neutral",6,5,5,8,"B",2572
"846","neutral",6,5,6,6,"B",2525
"847","neutral",6,5,7,7,"B",2794
"848","neutral",6,5,8,1,"A",1600
"849","neutral",6,5,9,10,"B",1755
"850","neutral",6,5,10,4,"A",1558
"851","neutral",6,6,1,10,"B",4537
"852","neutral",6,6,2,4,"A",2317
"853","neutral",6,6,3,2,"A",1673
"854","neutral",6,6,4,6,"B",2075
"855","neutral",6,6,5,5,"A",2434
"856","neutral",6,6,6,8,"B",3471
"857","neutral",6,6,7,9,"B",2322
"858","neutral",6,6,8,3,"A",2831
"859","neutral",6,6,9,1,"A",1641
"860","neutral",6,6,10,7,"B",3588
"861","neutral",6,7,1,8,"B",6957
"862","neutral",6,7,2,10,"B",2867
"863","neutral",6,7,3,6,"B",1959
"864","neutral",6,7,4,2,"A",2357
"865","neutral",6,7,5,5,"A",9660
"866","neutral",6,7,6,4,"A",3944
"867","neutral",6,7,7,7,"B",2631
"868","neutral",6,7,8,3,"A",5375
"869","neutral",6,7,9,1,"A",2205
"870","neutral",6,7,10,9,"B",2156
"871","neutral",6,8,1,1,"A",4796
"872","neutral",6,8,2,7,"B",3214
"873","neutral",6,8,3,8,"B",2391
"874","neutral",6,8,4,6,"B",1795
"875","neutral",6,8,5,10,"B",2874
"876","neutral",6,8,6,2,"A",3227
"877","neutral",6,8,7,5,"A",4138
"878","neutral",6,8,8,4,"A",5667
"879","neutral",6,8,9,9,"B",4406
"880","neutral",6,8,10,3,"A",11850
"881","neutral",7,1,1,1,"A",7993
"882","neutral",7,1,2,2,"A",10057
"883","neutral",7,1,3,6,"B",1437
"884","neutral",7,1,4,8,"B",1174
"885","neutral",7,1,5,7,"B",3445
"886","neutral",7,1,6,4,"B",1670
"887","neutral",7,1,7,9,"A",2350
"888","neutral",7,1,8,3,"A",1708
"889","neutral",7,1,9,10,"B",1784
"890","neutral",7,1,10,5,"A",3320
"891","neutral",7,2,1,7,"B",3743
"892","neutral",7,2,2,10,"B",2066
"893","neutral",7,2,3,6,"B",1679
"894","neutral",7,2,4,4,"B",3979
"895","neutral",7,2,5,5,"A",1155
"896","neutral",7,2,6,2,"A",720
"897","neutral",7,2,7,3,"A",842
"898","neutral",7,2,8,9,"A",736
"899","neutral",7,2,9,8,"B",1400
"900","neutral",7,2,10,1,"A",3456
"901","neutral",7,3,1,2,"A",1191
"902","neutral",7,3,2,9,"A",922
"903","neutral",7,3,3,7,"B",1199
"904","neutral",7,3,4,8,"B",1115
"905","neutral",7,3,5,10,"B",887
"906","neutral",7,3,6,5,"A",737
"907","neutral",7,3,7,1,"A",686
"908","neutral",7,3,8,3,"A",526
"909","neutral",7,3,9,6,"B",727
"910","neutral",7,3,10,4,"B",661
"911","neutral",7,4,1,7,"B",2316
"912","neutral",7,4,2,9,"A",740
"913","neutral",7,4,3,5,"A",679
"914","neutral",7,4,4,10,"B",648
"915","neutral",7,4,5,4,"B",722
"916","neutral",7,4,6,3,"A",644
"917","neutral",7,4,7,8,"B",808
"918","neutral",7,4,8,2,"A",1641
"919","neutral",7,4,9,6,"B",2073
"920","neutral",7,4,10,1,"A",1009
"921","neutral",7,5,1,7,"B",1043
"922","neutral",7,5,2,8,"B",1044
"923","neutral",7,5,3,4,"B",809
"924","neutral",7,5,4,10,"B",659
"925","neutral",7,5,5,2,"A",761
"926","neutral",7,5,6,9,"A",925
"927","neutral",7,5,7,5,"A",649
"928","neutral",7,5,8,1,"A",920
"929","neutral",7,5,9,3,"A",683
"930","neutral",7,5,10,6,"B",799
"931","neutral",7,6,1,1,"A",832
"932","neutral",7,6,2,4,"B",1005
"933","neutral",7,6,3,6,"B",1519
"934","neutral",7,6,4,7,"B",1949
"935","neutral",7,6,5,9,"A",967
"936","neutral",7,6,6,3,"A",642
"937","neutral",7,6,7,5,"A",726
"938","neutral",7,6,8,2,"A",650
"939","neutral",7,6,9,10,"B",1159
"940","neutral",7,6,10,8,"B",1003
"941","neutral",7,7,1,1,"A",1591
"942","neutral",7,7,2,10,"B",841
"943","neutral",7,7,3,6,"B",726
"944","neutral",7,7,4,7,"B",620
"945","neutral",7,7,5,5,"A",776
"946","neutral",7,7,6,8,"B",759
"947","neutral",7,7,7,4,"B",885
"948","neutral",7,7,8,9,"A",762
"949","neutral",7,7,9,2,"A",809
"950","neutral",7,7,10,3,"A",768
"951","neutral",7,8,1,9,"A",962
"952","neutral",7,8,2,2,"A",1165
"953","neutral",7,8,3,5,"A",2305
"954","neutral",7,8,4,3,"A",3028
"955","neutral",7,8,5,8,"B",2159
"956","neutral",7,8,6,7,"B",1638
"957","neutral",7,8,7,6,"B",2306
"958","neutral",7,8,8,4,"B",1592
"959","neutral",7,8,9,1,"A",1199
"960","neutral",7,8,10,10,"B",681
"961","neutral",8,1,1,4,"A",11353
"962","neutral",8,1,2,3,"B",7396
"963","neutral",8,1,3,10,"B",3738
"964","neutral",8,1,4,5,"A",3463
"965","neutral",8,1,5,9,"B",3154
"966","neutral",8,1,6,6,"B",1432
"967","neutral",8,1,7,1,"A",1126
"968","neutral",8,1,8,7,"B",4935
"969","neutral",8,1,9,8,"A",1197
"970","neutral",8,1,10,2,"A",1522
"971","neutral",8,2,1,3,"B",3853
"972","neutral",8,2,2,2,"A",764
"973","neutral",8,2,3,5,"A",602
"974","neutral",8,2,4,7,"B",642
"975","neutral",8,2,5,4,"A",648
"976","neutral",8,2,6,8,"A",644
"977","neutral",8,2,7,9,"B",650
"978","neutral",8,2,8,6,"B",644
"979","neutral",8,2,9,10,"B",649
"980","neutral",8,2,10,1,"A",644
"981","neutral",8,3,1,3,"B",721
"982","neutral",8,3,2,4,"A",884
"983","neutral",8,3,3,5,"A",484
"984","neutral",8,3,4,2,"A",534
"985","neutral",8,3,5,6,"B",684
"986","neutral",8,3,6,10,"B",565
"987","neutral",8,3,7,9,"B",563
"988","neutral",8,3,8,1,"A",689
"989","neutral",8,3,9,8,"A",728
"990","neutral",8,3,10,7,"B",638
"991","neutral",8,4,1,5,"A",922
"992","neutral",8,4,2,1,"A",565
"993","neutral",8,4,3,2,"A",960
"994","neutral",8,4,4,6,"B",729
"995","neutral",8,4,5,9,"B",570
"996","neutral",8,4,6,3,"B",728
"997","neutral",8,4,7,7,"B",602
"998","neutral",8,4,8,4,"A",2070
"999","neutral",8,4,9,8,"A",639
"1000","neutral",8,4,10,10,"B",844
"1001","neutral",8,5,1,4,"A",1358
"1002","neutral",8,5,2,10,"B",2790
"1003","neutral",8,5,3,7,"B",798
"1004","neutral",8,5,4,2,"A",998
"1005","neutral",8,5,5,9,"B",968
"1006","neutral",8,5,6,5,"A",804
"1007","neutral",8,5,7,8,"A",803
"1008","neutral",8,5,8,3,"B",685
"1009","neutral",8,5,9,1,"A",803
"1010","neutral",8,5,10,6,"B",644
"1011","neutral",8,6,1,9,"B",995
"1012","neutral",8,6,2,5,"A",729
"1013","neutral",8,6,3,3,"B",722
"1014","neutral",8,6,4,6,"B",604
"1015","neutral",8,6,5,1,"A",686
"1016","neutral",8,6,6,8,"A",568
"1017","neutral",8,6,7,4,"A",603
"1018","neutral",8,6,8,2,"A",803
"1019","neutral",8,6,9,10,"B",764
"1020","neutral",8,6,10,7,"B",760
"1021","neutral",8,7,1,6,"B",1007
"1022","neutral",8,7,2,5,"A",688
"1023","neutral",8,7,3,7,"B",807
"1024","neutral",8,7,4,10,"B",698
"1025","neutral",8,7,5,9,"B",607
"1026","neutral",8,7,6,8,"A",727
"1027","neutral",8,7,7,4,"A",611
"1028","neutral",8,7,8,2,"A",563
"1029","neutral",8,7,9,3,"B",757
"1030","neutral",8,7,10,1,"A",686
"1031","neutral",8,8,1,10,"B",881
"1032","neutral",8,8,2,7,"B",998
"1033","neutral",8,8,3,6,"B",690
"1034","neutral",8,8,4,3,"B",609
"1035","neutral",8,8,5,8,"A",917
"1036","neutral",8,8,6,5,"A",601
"1037","neutral",8,8,7,1,"A",722
"1038","neutral",8,8,8,4,"A",1648
"1039","neutral",8,8,9,2,"A",840
"1040","neutral",8,8,10,9,"B",726
"1041","neutral",9,1,1,7,"B",10096
"1042","neutral",9,1,2,4,"A",5260
"1043","neutral",9,1,3,10,"B",7953
"1044","neutral",9,1,4,6,"B",4578
"1045","neutral",9,1,5,3,"A",15097
"1046","neutral",9,1,6,1,"A",1954
"1047","neutral",9,1,7,8,"B",5482
"1048","neutral",9,1,8,5,"A",8350
"1049","neutral",9,1,9,9,"B",3980
"1050","neutral",9,1,10,2,"A",9291
"1051","neutral",9,2,1,8,"B",8741
"1052","neutral",9,2,2,9,"B",3427
"1053","neutral",9,2,3,10,"B",2666
"1054","neutral",9,2,4,6,"B",2672
"1055","neutral",9,2,5,2,"A",3589
"1056","neutral",9,2,6,3,"A",3142
"1057","neutral",9,2,7,1,"A",1594
"1058","neutral",9,2,8,5,"A",3265
"1059","neutral",9,2,9,4,"A",2275
"1060","neutral",9,2,10,7,"B",2034
"1061","neutral",9,3,1,9,"B",17436
"1062","neutral",9,3,2,2,"A",2239
"1063","neutral",9,3,3,8,"B",6837
"1064","neutral",9,3,4,7,"B",3069
"1065","neutral",9,3,5,1,"A",1526
"1066","neutral",9,3,6,4,"A",2156
"1067","neutral",9,3,7,5,"A",2709
"1068","neutral",9,3,8,6,"B",2907
"1069","neutral",9,3,9,3,"A",7825
"1070","neutral",9,3,10,10,"B",5135
"1071","neutral",9,4,1,7,"B",15655
"1072","neutral",9,4,2,10,"B",5093
"1073","neutral",9,4,3,9,"B",2357
"1074","neutral",9,4,4,6,"B",2074
"1075","neutral",9,4,5,5,"A",5298
"1076","neutral",9,4,6,4,"A",1358
"1077","neutral",9,4,7,8,"B",5103
"1078","neutral",9,4,8,3,"A",5252
"1079","neutral",9,4,9,2,"A",7272
"1080","neutral",9,4,10,1,"A",1800
"1081","neutral",9,5,1,6,"B",2508
"1082","neutral",9,5,2,7,"B",2865
"1083","neutral",9,5,3,5,"A",3229
"1084","neutral",9,5,4,1,"A",1160
"1085","neutral",9,5,5,8,"B",10972
"1086","neutral",9,5,6,2,"A",2119
"1087","neutral",9,5,7,10,"B",1317
"1088","neutral",9,5,8,3,"A",6040
"1089","neutral",9,5,9,9,"B",2030
"1090","neutral",9,5,10,4,"A",1443
"1091","neutral",9,6,1,8,"B",18712
"1092","neutral",9,6,2,2,"A",1876
"1093","neutral",9,6,3,1,"A",1043
"1094","neutral",9,6,4,7,"B",3509
"1095","neutral",9,6,5,10,"B",801
"1096","neutral",9,6,6,4,"A",1240
"1097","neutral",9,6,7,3,"A",2749
"1098","neutral",9,6,8,6,"B",1243
"1099","neutral",9,6,9,9,"B",1682
"1100","neutral",9,6,10,5,"A",4650
"1101","neutral",9,7,1,5,"A",13344
"1102","neutral",9,7,2,3,"A",1798
"1103","neutral",9,7,3,6,"B",1682
"1104","neutral",9,7,4,9,"B",2111
"1105","neutral",9,7,5,10,"B",2671
"1106","neutral",9,7,6,8,"B",2717
"1107","neutral",9,7,7,2,"A",1803
"1108","neutral",9,7,8,7,"B",4376
"1109","neutral",9,7,9,1,"A",1166
"1110","neutral",9,7,10,4,"A",1319
"1111","neutral",9,8,1,1,"A",7713
"1112","neutral",9,8,2,3,"A",1556
"1113","neutral",9,8,3,8,"B",1796
"1114","neutral",9,8,4,6,"B",1006
"1115","neutral",9,8,5,10,"B",1761
"1116","neutral",9,8,6,4,"A",5769
"1117","neutral",9,8,7,5,"A",3142
"1118","neutral",9,8,8,7,"B",3739
"1119","neutral",9,8,9,9,"B",7675
"1120","neutral",9,8,10,2,"A",3421
"1121","meticulous",1001,1,1,2,"B",10960
"1122","meticulous",1001,1,2,9,"B",4754
"1123","meticulous",1001,1,3,5,"A",7507
"1124","meticulous",1001,1,4,1,"A",1577
"1125","meticulous",1001,1,5,8,"B",1300
"1126","meticulous",1001,1,6,3,"A",1329
"1127","meticulous",1001,1,7,4,"A",3677
"1128","meticulous",1001,1,8,6,"B",1733
"1129","meticulous",1001,1,9,7,"A",2005
"1130","meticulous",1001,1,10,10,"B",1209
"1131","meticulous",1001,2,1,1,"A",3251
"1132","meticulous",1001,2,2,5,"A",3488
"1133","meticulous",1001,2,3,9,"B",2372
"1134","meticulous",1001,2,4,6,"B",1856
"1135","meticulous",1001,2,5,10,"B",3134
"1136","meticulous",1001,2,6,7,"B",3171
"1137","meticulous",1001,2,7,8,"B",4688
"1138","meticulous",1001,2,8,3,"B",4087
"1139","meticulous",1001,2,9,2,"A",4207
"1140","meticulous",1001,2,10,4,"A",2372
"1141","meticulous",1001,3,1,2,"A",5724
"1142","meticulous",1001,3,2,4,"A",10500
"1143","meticulous",1001,3,3,9,"B",3281
"1144","meticulous",1001,3,4,7,"B",6129
"1145","meticulous",1001,3,5,10,"B",2974
"1146","meticulous",1001,3,6,8,"B",4144
"1147","meticulous",1001,3,7,1,"A",6321
"1148","meticulous",1001,3,8,3,"A",3406
"1149","meticulous",1001,3,9,6,"B",4128
"1150","meticulous",1001,3,10,5,"A",8846
"1151","meticulous",1001,4,1,1,"A",1731
"1152","meticulous",1001,4,2,4,"A",1978
"1153","meticulous",1001,4,3,6,"B",1184
"1154","meticulous",1001,4,4,7,"B",6607
"1155","meticulous",1001,4,5,10,"B",3262
"1156","meticulous",1001,4,6,9,"B",1040
"1157","meticulous",1001,4,7,5,"A",1097
"1158","meticulous",1001,4,8,3,"A",5965
"1159","meticulous",1001,4,9,8,"B",10083
"1160","meticulous",1001,4,10,2,"A",3211
"1161","meticulous",1001,5,1,3,"A",2969
"1162","meticulous",1001,5,2,4,"A",2222
"1163","meticulous",1001,5,3,5,"A",1141
"1164","meticulous",1001,5,4,7,"B",2887
"1165","meticulous",1001,5,5,8,"B",3170
"1166","meticulous",1001,5,6,10,"B",3570
"1167","meticulous",1001,5,7,9,"B",1894
"1168","meticulous",1001,5,8,2,"A",2088
"1169","meticulous",1001,5,9,6,"B",4649
"1170","meticulous",1001,5,10,1,"A",2406
"1171","meticulous",1001,6,1,8,"B",6082
"1172","meticulous",1001,6,2,9,"B",341
"1173","meticulous",1001,6,3,4,"A",4805
"1174","meticulous",1001,6,4,1,"A",1091
"1175","meticulous",1001,6,5,7,"B",2138
"1176","meticulous",1001,6,6,10,"B",1978
"1177","meticulous",1001,6,7,6,"B",2887
"1178","meticulous",1001,6,8,5,"A",2892
"1179","meticulous",1001,6,9,3,"A",4134
"1180","meticulous",1001,6,10,2,"B",2330
"1181","meticulous",1001,7,1,8,"B",28764
"1182","meticulous",1001,7,2,3,"A",3735
"1183","meticulous",1001,7,3,1,"A",2135
"1184","meticulous",1001,7,4,4,"A",3419
"1185","meticulous",1001,7,5,10,"B",1828
"1186","meticulous",1001,7,6,2,"A",2928
"1187","meticulous",1001,7,7,5,"A",4693
"1188","meticulous",1001,7,8,6,"B",4494
"1189","meticulous",1001,7,9,7,"B",2618
"1190","meticulous",1001,7,10,9,"B",2731
"1191","meticulous",1001,8,1,4,"A",3012
"1192","meticulous",1001,8,2,7,"B",2806
"1193","meticulous",1001,8,3,3,"A",4011
"1194","meticulous",1001,8,4,2,"A",2697
"1195","meticulous",1001,8,5,1,"A",2529
"1196","meticulous",1001,8,6,5,"A",3048
"1197","meticulous",1001,8,7,9,"B",3926
"1198","meticulous",1001,8,8,6,"B",1856
"1199","meticulous",1001,8,9,8,"B",2497
"1200","meticulous",1001,8,10,10,"B",2531
"1201","meticulous",1010,1,1,6,"B",76081
"1202","meticulous",1010,1,2,7,"B",20096
"1203","meticulous",1010,1,3,2,"A",11174
"1204","meticulous",1010,1,4,4,"A",12096
"1205","meticulous",1010,1,5,3,"A",12171
"1206","meticulous",1010,1,6,9,"B",20050
"1207","meticulous",1010,1,7,1,"A",14734
"1208","meticulous",1010,1,8,8,"B",15128
"1209","meticulous",1010,1,9,10,"B",31446
"1210","meticulous",1010,1,10,5,"A",12012
"1211","meticulous",1010,2,1,9,"B",77727
"1212","meticulous",1010,2,2,7,"B",36641
"1213","meticulous",1010,2,3,6,"B",7657
"1214","meticulous",1010,2,4,4,"A",7535
"1215","meticulous",1010,2,5,1,"A",4652
"1216","meticulous",1010,2,6,5,"A",7451
"1217","meticulous",1010,2,7,10,"B",4540
"1218","meticulous",1010,2,8,8,"B",10417
"1219","meticulous",1010,2,9,3,"A",11703
"1220","meticulous",1010,2,10,2,"A",8648
"1221","meticulous",1010,3,1,2,"A",9094
"1222","meticulous",1010,3,2,9,"B",7533
"1223","meticulous",1010,3,3,4,"A",7177
"1224","meticulous",1010,3,4,8,"B",6859
"1225","meticulous",1010,3,5,7,"B",8896
"1226","meticulous",1010,3,6,6,"B",6136
"1227","meticulous",1010,3,7,5,"A",16886
"1228","meticulous",1010,3,8,1,"A",6253
"1229","meticulous",1010,3,9,3,"A",10289
"1230","meticulous",1010,3,10,10,"B",4912
"1231","meticulous",1010,4,1,8,"B",15209
"1232","meticulous",1010,4,2,1,"A",6098
"1233","meticulous",1010,4,3,4,"A",5691
"1234","meticulous",1010,4,4,10,"B",4496
"1235","meticulous",1010,4,5,6,"B",6581
"1236","meticulous",1010,4,6,9,"B",3411
"1237","meticulous",1010,4,7,7,"B",6701
"1238","meticulous",1010,4,8,3,"A",9889
"1239","meticulous",1010,4,9,5,"A",4412
"1240","meticulous",1010,4,10,2,"A",11216
"1241","meticulous",1010,5,1,10,"B",5480
"1242","meticulous",1010,5,2,8,"B",12143
"1243","meticulous",1010,5,3,5,"A",7495
"1244","meticulous",1010,5,4,6,"B",3259
"1245","meticulous",1010,5,5,4,"A",3490
"1246","meticulous",1010,5,6,9,"B",3857
"1247","meticulous",1010,5,7,3,"A",6299
"1248","meticulous",1010,5,8,2,"A",8578
"1249","meticulous",1010,5,9,1,"A",3059
"1250","meticulous",1010,5,10,7,"B",13324
"1251","meticulous",1010,6,1,3,"A",11517
"1252","meticulous",1010,6,2,5,"B",13047
"1253","meticulous",1010,6,3,6,"B",7652
"1254","meticulous",1010,6,4,4,"A",4251
"1255","meticulous",1010,6,5,10,"B",3933
"1256","meticulous",1010,6,6,8,"B",13247
"1257","meticulous",1010,6,7,1,"A",5013
"1258","meticulous",1010,6,8,9,"B",8698
"1259","meticulous",1010,6,9,2,"A",11257
"1260","meticulous",1010,6,10,7,"B",5171
"1261","meticulous",1010,7,1,4,"A",5419
"1262","meticulous",1010,7,2,6,"B",2105
"1263","meticulous",1010,7,3,1,"A",1652
"1264","meticulous",1010,7,4,10,"B",1339
"1265","meticulous",1010,7,5,9,"B",1943
"1266","meticulous",1010,7,6,7,"B",1933
"1267","meticulous",1010,7,7,3,"B",1777
"1268","meticulous",1010,7,8,5,"A",2533
"1269","meticulous",1010,7,9,8,"A",2976
"1270","meticulous",1010,7,10,2,"A",2221
"1271","meticulous",1010,8,1,1,"A",2941
"1272","meticulous",1010,8,2,5,"A",3862
"1273","meticulous",1010,8,3,7,"B",5943
"1274","meticulous",1010,8,4,2,"A",2662
"1275","meticulous",1010,8,5,8,"B",9130
"1276","meticulous",1010,8,6,3,"A",6466
"1277","meticulous",1010,8,7,4,"A",9570
"1278","meticulous",1010,8,8,9,"B",2611
"1279","meticulous",1010,8,9,10,"B",7739
"1280","meticulous",1010,8,10,6,"B",3816
"1281","meticulous",1011,1,1,10,"B",13766
"1282","meticulous",1011,1,2,7,"A",2334
"1283","meticulous",1011,1,3,5,"A",2895
"1284","meticulous",1011,1,4,8,"B",7651
"1285","meticulous",1011,1,5,9,"B",5152
"1286","meticulous",1011,1,6,4,"A",3099
"1287","meticulous",1011,1,7,6,"B",2975
"1288","meticulous",1011,1,8,2,"A",6020
"1289","meticulous",1011,1,9,1,"A",5254
"1290","meticulous",1011,1,10,3,"A",4496
"1291","meticulous",1011,2,1,2,"A",5812
"1292","meticulous",1011,2,2,10,"B",4349
"1293","meticulous",1011,2,3,9,"B",3976
"1294","meticulous",1011,2,4,6,"B",2663
"1295","meticulous",1011,2,5,3,"A",3255
"1296","meticulous",1011,2,6,4,"A",3137
"1297","meticulous",1011,2,7,5,"A",5898
"1298","meticulous",1011,2,8,7,"B",5570
"1299","meticulous",1011,2,9,8,"B",12021
"1300","meticulous",1011,2,10,1,"A",3291
"1301","meticulous",1011,3,1,3,"A",12332
"1302","meticulous",1011,3,2,4,"A",4937
"1303","meticulous",1011,3,3,9,"B",3264
"1304","meticulous",1011,3,4,2,"A",4495
"1305","meticulous",1011,3,5,1,"A",3742
"1306","meticulous",1011,3,6,7,"B",3064
"1307","meticulous",1011,3,7,10,"B",2694
"1308","meticulous",1011,3,8,6,"B",3011
"1309","meticulous",1011,3,9,8,"B",5943
"1310","meticulous",1011,3,10,5,"A",10177
"1311","meticulous",1011,4,1,1,"A",4378
"1312","meticulous",1011,4,2,7,"B",3384
