Participant,Condition,CERE,GW,Agreed,CEREyes,GWyes,AgreedYes,simpStrat
22001,1,CJ,CJ2,CJ2,1,1,1,Complex
22002,1,UDO,UDO,UDO,1,1,1,UD
22003,1,CJ2,CJ2,CJ2,1,1,1,Complex
22004,1,RuleX,CJ,CJ,1,1,1,CJ
22005,1,RuleX,UDF,Udexp,1,1,1,Complex
22006,1,2D,2D,2D,1,1,1,2D
22007,1,RuleX,SUR,CJ2,1,1,1,Complex
22008,1,2D,CJ2,CJ2,1,1,1,Complex
22009,1,2D,SUR,SUR,1,1,1,Complex
22010,1,NA,NA,NA,0,0,0,NA
22011,1,CJ2,CJ2,CJ2,1,1,1,Complex
22012,1,SUR,SUR,SUR,1,1,1,Complex
22013,1,RuleX,RuleX,RuleX,1,1,1,Complex
22014,1,NA,2D,2D,0,1,1,2D
22015,1,RuleX,RuleX,RuleX,1,1,1,Complex
22016,1,CJ,UDO,CJ,1,1,1,CJ
22017,1,CJ,CJ,CJ,1,1,1,CJ
22018,1,CJ2,CJ2,CJ2,1,1,1,Complex
22019,1,CJ2,CJ2,CJ2,1,1,1,Complex
22020,1,NA,NA,NA,0,0,0,NA
22101,2,CJ,CJ2,CJ2,1,1,1,Complex
22102,2,UDO,UDO,UDO,1,1,1,UD
22103,2,RuleX,RuleX,RuleX,1,1,1,Complex
22104,2,SUR,SUR,SUR,1,1,1,Complex
22105,2,CJ,RuleX,CJ,1,1,1,CJ
22106,2,2D,2D,2D,1,1,1,2D
22107,2,RuleX,SUR,RuleX,1,1,1,Complex
22108,2,2D,CJ2,SUR,1,1,1,Complex
22109,2,UDF,UDF,UDF,1,1,1,UD
22110,2,RuleX,RuleX,RuleX,1,1,1,Complex
22111,2,NA,NA,NA,0,0,0,NA
22112,2,RuleX,UDO,CJ,1,1,1,CJ
22113,2,NA,NA,NA,0,0,0,NA
22114,2,CJ2,CJ2,CJ2,1,1,1,Complex
22115,2,CJ,CJ,CJ,1,1,1,CJ
22116,2,RuleX,RuleX,RuleX,1,1,1,Complex
22117,2,RuleX,RuleX,RuleX,1,1,1,Complex
22118,2,RuleX,SUR,RuleX,1,1,1,Complex
22119,2,UDF,2D,2D,1,1,1,2D
22120,2,CJ,CJ,CJ,1,1,1,CJ
