"date","subj","cbal","keyb","phase","block","trial","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt"
2007-01-22,1,1,"right",2,1,6,"S7860",3,2,"*",8,613,-1
2007-01-22,1,1,"right",2,1,7,"S3420",3,2,"*",9,-1,634
2007-01-22,1,1,"right",2,1,8,"S7860",2,3,"*",7,470,-1
2007-01-22,1,1,"right",2,1,9,"S7860",3,2,"*",8,634,-1
2007-01-22,1,1,"right",2,1,10,"S3420",3,2,"*",9,-1,574
2007-01-22,1,1,"right",2,1,11,"S3420",3,2,"*",9,-1,716
2007-01-22,1,1,"right",2,1,12,"S7860",3,3,"*",11,490,-1
2007-01-22,1,1,"right",2,1,13,"S7860",3,1,"*",8,654,-1
2007-01-22,1,1,"right",2,1,14,"S3420",2,2,"*",8,-1,613
2007-01-22,1,1,"right",2,1,15,"S7860",3,1,"*",9,655,-1
2007-01-22,1,1,"right",2,1,16,"S3420",3,1,"*",9,-1,655
2007-01-22,1,1,"right",2,1,17,"S3420",3,1,"*",8,-1,470
2007-01-22,1,1,"right",2,1,18,"S7860",3,1,"*",5,576,-1
2007-01-22,1,1,"right",2,1,19,"S7860",2,2,"*",5,472,-1
2007-01-22,1,1,"right",2,1,20,"S3420",3,1,"*",6,-1,738
2007-01-22,1,1,"right",2,1,21,"S7860",2,2,"*",5,533,-1
2007-01-22,1,1,"right",2,1,22,"S7860",3,2,"*",7,656,-1
2007-01-22,1,1,"right",2,1,23,"S3420",2,3,"*",6,-1,512
2007-01-22,1,1,"right",2,1,24,"S7860",2,2,"*",5,595,-1
2007-01-22,1,1,"right",2,1,25,"S3420",3,2,"*",8,-1,635
2007-01-22,1,1,"right",2,1,26,"S7860",2,2,"*",4,676,-1
2007-01-22,1,1,"right",2,1,27,"S7860",3,2,"*",9,655,-1
2007-01-22,1,1,"right",2,1,28,"S3420",2,2,"*",4,-1,512
2007-01-22,1,1,"right",2,1,29,"S3420",3,2,"*",9,-1,368
2007-01-22,1,1,"right",2,1,30,"S7860",2,2,"*",6,614,-1
2007-01-22,1,1,"right",2,1,31,"S3420",3,3,"*",10,-1,430
2007-01-22,1,1,"right",2,1,32,"S3420",2,2,"*",6,-1,532
2007-01-22,1,1,"right",3,1,1,"S3420",2,2,"*",6,-1,594
2007-01-22,1,1,"right",3,1,2,"S7860",3,2,"*",13,532,-1
2007-01-22,1,1,"right",3,1,3,"S7860",2,2,"*",7,389,-1
2007-01-22,1,1,"right",3,1,4,"S3420",3,1,"*",7,-1,740
2007-01-22,1,1,"right",3,1,5,"S7860",2,1,"*",5,595,-1
2007-01-22,1,1,"right",3,1,6,"S3420",2,1,"*",4,-1,778
2007-01-22,1,1,"right",3,1,7,"S3420",2,1,"*",4,-1,614
2007-01-22,1,1,"right",3,1,8,"S7860",2,2,"*",6,368,-1
2007-01-22,1,1,"right",3,1,9,"S3420",3,3,"*",11,-1,389
2007-01-22,1,1,"right",3,1,10,"S3420",2,2,"*",5,-1,512
2007-01-22,1,1,"right",3,1,11,"S7860",2,2,"*",5,491,-1
2007-01-22,1,1,"right",3,1,12,"S7860",3,0,"*",1,4450,-1
2007-01-22,1,1,"right",3,1,13,"S3420",2,2,"*",6,-1,637
2007-01-22,1,1,"right",3,1,14,"S7860",3,1,"*",3,737,-1
2007-01-22,1,1,"right",3,1,15,"S3420",2,2,"*",5,-1,513
2007-01-22,1,1,"right",3,1,16,"S7860",2,3,"*",7,492,-1
2007-01-22,1,1,"right",3,1,17,"S7860",2,2,"*",6,431,-1
2007-01-22,1,1,"right",3,1,18,"S3420",3,2,"*",10,-1,431
2007-01-22,1,1,"right",3,1,19,"S3420",2,2,"*",6,-1,655
2007-01-22,1,1,"right",3,1,20,"S7860",2,3,"*",7,393,-1
2007-01-22,1,1,"right",3,2,1,"S7460",2,0,"L",1,5825,390
2007-01-22,1,1,"right",3,2,2,"S3420",2,1,"*",2,-1,863
2007-01-22,1,1,"right",3,2,3,"S7860",2,0,"L",1,595,-1
2007-01-22,1,1,"right",3,2,4,"S7860",3,1,"*",8,656,-1
2007-01-22,1,1,"right",3,2,5,"S3820",3,0,"R",1,-1,574
2007-01-22,1,1,"right",3,2,6,"S7860",3,1,"*",7,697,-1
2007-01-22,1,1,"right",3,2,7,"S7860",2,2,"*",5,533,-1
2007-01-22,1,1,"right",3,2,8,"S7420",3,0,"R",1,-1,472
2007-01-22,1,1,"right",3,2,9,"S3420",2,2,"*",7,-1,573
2007-01-22,1,1,"right",3,2,10,"S3820",3,0,"R",1,-1,615
2007-01-22,1,1,"right",3,2,11,"S7860",3,1,"*",7,553,-1
2007-01-22,1,1,"right",3,2,12,"S3420",2,0,"R",1,-1,513
2007-01-22,1,1,"right",3,2,13,"S3420",3,2,"*",8,-1,576
2007-01-22,1,1,"right",3,2,14,"S7420",2,0,"R",1,-1,533
2007-01-22,1,1,"right",3,2,15,"S3420",2,2,"*",6,-1,860
2007-01-22,1,1,"right",3,2,16,"S7860",3,2,"*",9,533,-1
2007-01-22,1,1,"right",3,2,17,"S7860",2,2,"*",7,616,-1
2007-01-22,1,1,"right",3,2,18,"S7860",2,0,"L",1,699,-1
