"","cond","subj","phase","block","trial","stim","resp","rt","rtiti"
"110","noload",1,"exp",10,10,6,"B",427,179
"111","noload",1,"exp",11,1,6,"B",363,182
"112","noload",1,"exp",11,2,4,"A",1714,188
"113","noload",1,"exp",11,3,3,"A",1047,106
"114","noload",1,"exp",11,4,10,"B",392,200
"115","noload",1,"exp",11,5,8,"B",2167,185
"116","noload",1,"exp",11,6,2,"A",450,206
"117","noload",1,"exp",11,7,5,"A",758,159
"118","noload",1,"exp",11,8,7,"B",943,189
"119","noload",1,"exp",11,9,9,"B",441,194
"120","noload",1,"exp",11,10,1,"A",433,907
"121","noload",1,"exp",12,1,9,"B",569,189
"122","noload",1,"exp",12,2,10,"B",1457,195
"123","noload",1,"exp",12,3,2,"A",1612,227
"124","noload",1,"exp",12,4,8,"B",1164,646
"125","noload",1,"exp",12,5,1,"A",534,197
"126","noload",1,"exp",12,6,5,"A",676,189
"127","noload",1,"exp",12,7,3,"A",1466,113
"128","noload",1,"exp",12,8,6,"B",776,662
"129","noload",1,"exp",12,9,4,"A",1291,156
"130","noload",1,"exp",12,10,7,"B",765,233
"131","noload",10,"prac",0,1,0,"A",2975,1158
"132","noload",10,"prac",0,2,0,"B",1522,5668
"133","noload",10,"prac",0,3,0,"B",1566,696
"134","noload",10,"prac",0,4,0,"A",853,627
"135","noload",10,"prac",0,5,0,"A",759,403
"136","noload",10,"prac",0,6,0,"B",557,380
"137","noload",10,"prac",0,7,0,"B",980,330
"138","noload",10,"prac",0,8,0,"A",1062,442
"139","noload",10,"prac",0,9,0,"A",354,235
"140","noload",10,"prac",0,10,0,"B",375,180
"141","noload",10,"exp",1,1,2,"A",1077,591
"142","noload",10,"exp",1,2,4,"A",1869,470
"143","noload",10,"exp",1,3,9,"B",974,308
"144","noload",10,"exp",1,4,8,"B",1872,634
"145","noload",10,"exp",1,5,10,"B",1436,381
"146","noload",10,"exp",1,6,1,"A",925,856
"147","noload",10,"exp",1,7,3,"B",4556,558
"148","noload",10,"exp",1,8,7,"B",727,298
"149","noload",10,"exp",1,9,6,"B",750,198
"150","noload",10,"exp",1,10,5,"B",446,201
"151","noload",10,"exp",2,1,5,"A",1197,397
"152","noload",10,"exp",2,2,1,"A",798,239
"153","noload",10,"exp",2,3,9,"B",486,217
"154","noload",10,"exp",2,4,4,"A",412,191
"155","noload",10,"exp",2,5,8,"A",298,169
"156","noload",10,"exp",2,6,3,"B",121,134
"157","noload",10,"exp",2,7,7,"B",2999,148
"158","noload",10,"exp",2,8,6,"B",694,148
"159","noload",10,"exp",2,9,10,"B",318,125
"160","noload",10,"exp",2,10,2,"A",503,156
"161","noload",10,"exp",3,1,7,"B",266,210
"162","noload",10,"exp",3,2,5,"A",138,232
"163","noload",10,"exp",3,3,9,"B",728,157
"164","noload",10,"exp",3,4,3,"B",1071,135
"165","noload",10,"exp",3,5,2,"A",539,249
"166","noload",10,"exp",3,6,10,"B",714,236
"167","noload",10,"exp",3,7,6,"B",475,205
"168","noload",10,"exp",3,8,4,"A",348,166
"169","noload",10,"exp",3,9,8,"A",474,217
"170","noload",10,"exp",3,10,1,"A",457,182
"171","noload",10,"exp",4,1,6,"B",265,239
"172","noload",10,"exp",4,2,8,"A",421,170
"173","noload",10,"exp",4,3,3,"B",584,733
"174","noload",10,"exp",4,4,1,"A",330,173
"175","noload",10,"exp",4,5,5,"A",521,147
"176","noload",10,"exp",4,6,7,"A",808,2140
"177","noload",10,"exp",4,7,10,"B",1462,205
"178","noload",10,"exp",4,8,2,"A",646,681
"179","noload",10,"exp",4,9,4,"A",271,360
"180","noload",10,"exp",4,10,9,"B",438,878
"181","noload",10,"exp",5,1,5,"A",184,191
"182","noload",10,"exp",5,2,6,"B",181,168
"183","noload",10,"exp",5,3,9,"B",233,170
"184","noload",10,"exp",5,4,1,"A",189,133
"185","noload",10,"exp",5,5,8,"A",205,169
"186","noload",10,"exp",5,6,2,"A",250,126
"187","noload",10,"exp",5,7,4,"A",303,139
"188","noload",10,"exp",5,8,7,"B",347,161
"189","noload",10,"exp",5,9,3,"B",229,150
"190","noload",10,"exp",5,10,10,"A",323,134
"191","noload",10,"exp",6,1,5,"A",682,213
"192","noload",10,"exp",6,2,4,"A",277,158
"193","noload",10,"exp",6,3,8,"B",250,1292
"194","noload",10,"exp",6,4,6,"B",345,159
"195","noload",10,"exp",6,5,10,"A",333,1856
"196","noload",10,"exp",6,6,9,"B",297,265
"197","noload",10,"exp",6,7,7,"B",120,307
"198","noload",10,"exp",6,8,2,"A",291,223
"199","noload",10,"exp",6,9,3,"B",2761,582
"200","noload",10,"exp",6,10,1,"A",1371,176
"201","noload",10,"exp",7,1,5,"A",929,331
"202","noload",10,"exp",7,2,7,"B",381,171
"203","noload",10,"exp",7,3,4,"A",205,137
"204","noload",10,"exp",7,4,8,"A",630,102
"205","noload",10,"exp",7,5,1,"A",377,87
"206","noload",10,"exp",7,6,3,"B",379,135
"207","noload",10,"exp",7,7,10,"B",1517,79
"208","noload",10,"exp",7,8,9,"B",408,90
"209","noload",10,"exp",7,9,2,"A",853,244
"210","noload",10,"exp",7,10,6,"B",578,394
"211","noload",10,"exp",8,1,2,"A",538,1143
"212","noload",10,"exp",8,2,5,"A",391,138
"213","noload",10,"exp",8,3,9,"B",246,186
"214","noload",10,"exp",8,4,3,"A",375,213
"215","noload",10,"exp",8,5,10,"B",693,131
"216","noload",10,"exp",8,6,1,"A",351,183
"217","noload",10,"exp",8,7,8,"A",477,172
"218","noload",10,"exp",8,8,6,"B",319,254
"219","noload",10,"exp",8,9,7,"B",710,182
"220","noload",10,"exp",8,10,4,"A",243,184
"221","noload",10,"exp",9,1,6,"A",200,787
"222","noload",10,"exp",9,2,1,"A",189,212
"223","noload",10,"exp",9,3,9,"B",93,659
"224","noload",10,"exp",9,4,10,"B",52,495
"225","noload",10,"exp",9,5,5,"A",364,550
"226","noload",10,"exp",9,6,3,"B",1178,376
"227","noload",10,"exp",9,7,7,"B",350,357
"228","noload",10,"exp",9,8,8,"A",383,301
"229","noload",10,"exp",9,9,2,"B",685,312
"230","noload",10,"exp",9,10,4,"A",572,303
"231","noload",10,"exp",10,1,10,"B",2976,1927
"232","noload",10,"exp",10,2,1,"A",492,175
"233","noload",10,"exp",10,3,2,"A",214,181
"234","noload",10,"exp",10,4,3,"B",448,140
"235","noload",10,"exp",10,5,7,"B",2107,965
"236","noload",10,"exp",10,6,4,"A",292,222
"237","noload",10,"exp",10,7,5,"A",508,85
"238","noload",10,"exp",10,8,8,"B",570,446
