cond,subj,ud,os,other
load,1001,0,12,0
load,1002,5,0,7
load,1003,6,0,6
load,1004,10,0,2
load,1005,0,4,8
load,1006,12,0,0
load,1007,6,0,6
load,1008,10,0,2
load,1009,0,5,7
load,1010,9,0,3
load,1011,10,0,2
load,1012,11,0,1
load,1013,7,0,5
load,1014,11,0,1
load,1015,8,1,3
load,1016,11,0,1
load,1017,7,0,5
load,1018,2,0,10
load,1019,9,0,3
load,1020,11,0,1
load,1021,12,0,0
noload,1,1,8,3
noload,2,12,0,0
noload,3,8,0,4
noload,4,3,8,1
noload,5,6,4,2
noload,6,12,0,0
noload,7,4,6,2
noload,8,10,2,0
noload,9,0,10,2
noload,10,7,0,5
noload,11,9,1,2
noload,13,7,5,0
noload,14,11,0,1
noload,15,9,0,3
noload,16,10,0,2
noload,17,2,9,1
noload,18,0,12,0
noload,19,1,11,0
noload,20,2,6,4
noload,21,11,1,0
noload,22,0,12,0
