"","cond","subj","phase","block","trial","stim","resp","rt","rtiti"
"1","load",1002,"prac",0,1,98,"A",2352,7050
"2","load",1002,"prac",0,2,99,"B",1116,4845
"3","load",1002,"prac",0,3,99,"B",5532,3829
"4","load",1002,"prac",0,4,99,"B",4227,2792
"5","load",1002,"prac",0,5,98,"A",919,2962
"6","load",1002,"prac",0,6,99,"B",1419,1786
"7","load",1002,"prac",0,7,98,"A",414,3712
"8","load",1002,"prac",0,8,98,"A",1502,4525
"9","load",1002,"prac",0,9,98,"A",864,1629
"10","load",1002,"prac",0,10,99,"B",3293,1629
"11","load",1002,"exp",1,1,10,"B",590,9819
"12","load",1002,"exp",1,2,3,"B",552,7227
"13","load",1002,"exp",1,3,4,"A",1222,6377
"14","load",1002,"exp",1,4,9,"B",366,7079
"15","load",1002,"exp",1,5,8,"B",1463,3824
"16","load",1002,"exp",1,6,6,"B",4259,4733
"17","load",1002,"exp",1,7,1,"A",768,4634
"18","load",1002,"exp",1,8,5,"B",1710,5224
"19","load",1002,"exp",1,9,2,"A",2748,3515
"20","load",1002,"exp",1,10,7,"B",3504,3515
"21","load",1002,"exp",2,1,3,"B",757,7775
"22","load",1002,"exp",2,2,2,"A",1025,5872
"23","load",1002,"exp",2,3,10,"B",1567,6460
"24","load",1002,"exp",2,4,9,"B",539,3894
"25","load",1002,"exp",2,5,4,"A",1021,5387
"26","load",1002,"exp",2,6,6,"B",743,3452
"27","load",1002,"exp",2,7,5,"A",1702,2990
"28","load",1002,"exp",2,8,1,"A",890,2239
"29","load",1002,"exp",2,9,7,"B",550,3591
"30","load",1002,"exp",2,10,8,"B",3080,3591
"31","load",1002,"exp",3,1,6,"B",489,3837
"32","load",1002,"exp",3,2,4,"A",607,5419
"33","load",1002,"exp",3,3,3,"B",329,2523
"34","load",1002,"exp",3,4,8,"B",876,1533
"35","load",1002,"exp",3,5,7,"B",1223,6029
"36","load",1002,"exp",3,6,2,"A",958,3042
"37","load",1002,"exp",3,7,1,"A",717,14636
"38","load",1002,"exp",3,8,9,"B",759,2834
"39","load",1002,"exp",3,9,10,"B",594,1674
"40","load",1002,"exp",3,10,5,"A",3307,1674
"41","load",1002,"exp",4,1,9,"B",1134,2692
"42","load",1002,"exp",4,2,1,"A",2939,2939
"43","load",1002,"exp",4,3,4,"A",974,9748
"44","load",1002,"exp",4,4,10,"B",623,10365
"45","load",1002,"exp",4,5,8,"B",2605,4471
"46","load",1002,"exp",4,6,2,"A",1285,3864
"47","load",1002,"exp",4,7,5,"A",2414,5749
"48","load",1002,"exp",4,8,6,"B",442,3079
"49","load",1002,"exp",4,9,7,"B",1047,6891
"50","load",1002,"exp",4,10,3,"A",1046,6891
"51","load",1002,"exp",5,1,2,"A",225,5149
"52","load",1002,"exp",5,2,7,"B",55,5729
"53","load",1002,"exp",5,3,9,"B",1947,3108
"54","load",1002,"exp",5,4,10,"B",506,2595
"55","load",1002,"exp",5,5,1,"A",1876,9180
"56","load",1002,"exp",5,6,8,"A",1853,4293
"57","load",1002,"exp",5,7,6,"B",381,2936
"58","load",1002,"exp",5,8,5,"A",908,3318
"59","load",1002,"exp",5,9,4,"A",860,2315
"60","load",1002,"exp",5,10,3,"A",201,2315
"61","load",1002,"exp",6,1,2,"A",1212,3075
"62","load",1002,"exp",6,2,4,"A",915,2012
"63","load",1002,"exp",6,3,6,"B",331,2349
"64","load",1002,"exp",6,4,8,"B",828,3652
"65","load",1002,"exp",6,5,9,"B",2975,7523
"66","load",1002,"exp",6,6,1,"A",651,4669
"67","load",1002,"exp",6,7,7,"B",873,2233
"68","load",1002,"exp",6,8,3,"A",1568,6201
"69","load",1002,"exp",6,9,5,"B",59,1513
"70","load",1002,"exp",6,10,10,"B",898,1513
"71","load",1002,"exp",7,1,7,"B",427,2308
"72","load",1002,"exp",7,2,9,"B",682,4101
"73","load",1002,"exp",7,3,8,"B",720,2595
"74","load",1002,"exp",7,4,4,"A",1003,2935
"75","load",1002,"exp",7,5,2,"A",488,1964
"76","load",1002,"exp",7,6,5,"A",1731,3364
"77","load",1002,"exp",7,7,10,"B",753,4585
"78","load",1002,"exp",7,8,1,"B",1709,3749
"79","load",1002,"exp",7,9,3,"B",1439,2884
"80","load",1002,"exp",7,10,6,"B",427,2884
