subj	cond	cb	keyb	phase	blk	trial	stim	resp	rt	conf	confrt
14001	2	1	1	1	1	1	1	0	3510	3	3962
14001	2	1	1	1	1	2	5	1	1541	2	1430
14001	2	1	1	1	1	3	6	1	1774	2	940
14001	2	1	1	1	1	4	4	1	968	2	822
14001	2	1	1	1	1	5	3	0	1066	1	2059
14001	2	1	1	1	1	6	8	0	3199	3	974
14001	2	1	1	1	1	7	2	1	1203	2	1113
14001	2	1	1	1	1	8	7	1	1207	3	2565
14001	2	1	1	1	2	9	8	0	976	2	1089
14001	2	1	1	1	2	10	5	1	2186	1	5198
14001	2	1	1	1	2	11	2	1	3583	2	1760
14001	2	1	1	1	2	12	1	1	1672	3	1052
14001	2	1	1	1	2	13	7	1	573	2	1195
14001	2	1	1	1	2	14	4	1	874	3	1941
14001	2	1	1	1	2	15	6	1	4538	2	884
14001	2	1	1	1	2	16	3	1	318	3	409
14001	2	1	1	1	3	17	4	1	1258	2	498
14001	2	1	1	1	3	18	6	1	391	2	586
14001	2	1	1	1	3	19	5	1	406	3	444
14001	2	1	1	1	3	20	2	0	1669	1	656
14001	2	1	1	1	3	21	8	1	773	2	581
14001	2	1	1	1	3	22	3	1	642	2	776
14001	2	1	1	1	3	23	1	1	259	3	315
14001	2	1	1	1	3	24	7	1	466	2	1619
14001	2	1	1	1	4	25	5	0	408	1	820
14001	2	1	1	1	4	26	7	1	361	2	1268
14001	2	1	1	1	4	27	8	1	1028	3	1748
14001	2	1	1	1	4	28	1	1	320	3	419
14001	2	1	1	1	4	29	2	1	432	3	842
14001	2	1	1	1	4	30	6	1	373	3	682
14001	2	1	1	1	4	31	4	1	1459	2	580
14001	2	1	1	1	4	32	3	1	464	2	857
14001	2	1	1	1	5	33	8	1	445	3	514
14001	2	1	1	1	5	34	2	1	545	2	505
14001	2	1	1	1	5	35	4	1	22	2	1910
14001	2	1	1	1	5	36	3	1	338	3	810
14001	2	1	1	1	5	37	5	1	452	2	530
14001	2	1	1	1	5	38	1	1	772	1	1394
14001	2	1	1	1	5	39	7	1	336	3	888
14001	2	1	1	1	5	40	6	1	314	2	485
14001	2	1	1	1	6	41	3	1	861	2	1325
14001	2	1	1	1	6	42	7	1	318	3	356
14001	2	1	1	1	6	43	1	1	707	3	811
14001	2	1	1	1	6	44	5	1	309	2	408
14001	2	1	1	1	6	45	2	1	321	3	334
14001	2	1	1	1	6	46	6	1	288	3	590
14001	2	1	1	1	6	47	8	1	314	3	653
14001	2	1	1	1	6	48	4	1	2174	2	415
14001	2	1	1	2	1	1	3	1	3343	0	0
14001	2	1	1	2	1	2	1	0	3413	0	0
14001	2	1	1	2	1	3	8	0	632	0	0
14001	2	1	1	2	1	4	4	0	326	0	0
14001	2	1	1	2	1	5	2	1	800	0	0
14001	2	1	1	2	1	6	10	1	367	0	0
14001	2	1	1	2	1	7	7	1	345	0	0
14001	2	1	1	2	1	8	5	0	277	0	0
14001	2	1	1	2	1	9	9	1	1196	0	0
14001	2	1	1	2	1	10	6	1	283	0	0
14001	2	1	1	2	2	11	8	0	321	0	0
14001	2	1	1	2	2	12	1	0	1264	0	0
14001	2	1	1	2	2	13	6	0	325	0	0
14001	2	1	1	2	2	14	10	1	270	0	0
14001	2	1	1	2	2	15	2	1	1077	0	0
14001	2	1	1	2	2	16	7	0	333	0	0
14001	2	1	1	2	2	17	4	1	278	0	0
14001	2	1	1	2	2	18	5	0	1212	0	0
14001	2	1	1	2	2	19	3	1	319	0	0
14001	2	1	1	2	2	20	9	1	646	0	0
14001	2	1	1	2	3	21	2	0	407	0	0
14001	2	1	1	2	3	22	3	1	1	0	0
14001	2	1	1	2	3	23	8	0	1191	0	0
14001	2	1	1	2	3	24	1	0	182	0	0
14001	2	1	1	2	3	25	5	1	1202	0	0
14001	2	1	1	2	3	26	10	1	253	0	0
14001	2	1	1	2	3	27	9	1	294	0	0
14001	2	1	1	2	3	28	6	0	311	0	0
14001	2	1	1	2	3	29	7	1	246	0	0
14001	2	1	1	2	3	30	4	0	2032	0	0
14001	2	1	1	2	4	31	9	1	199	0	0
14001	2	1	1	2	4	32	10	0	302	0	0
14001	2	1	1	2	4	33	2	1	442	0	0
14001	2	1	1	2	4	34	6	0	289	0	0
14001	2	1	1	2	4	35	3	0	434	0	0
14001	2	1	1	2	4	36	5	0	289	0	0
14001	2	1	1	2	4	37	8	1	355	0	0
14001	2	1	1	2	4	38	4	1	377	0	0
14001	2	1	1	2	4	39	7	1	419	0	0
14001	2	1	1	2	4	40	1	1	319	0	0
14001	2	1	1	2	5	41	6	0	271	0	0
14001	2	1	1	2	5	42	3	1	418	0	0
