"cond"	"subj"	"cbal"	"sex"	"age"	"course"	"year"	"phase"	"block"	"trial"	"stim"	"rein"	"score"	"totresp"	"numlost"	"itiresp"	"resp"
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	25	"D"	0	76	415	20	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	26	"A"	1	83	443	22	0	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	27	"AB"	0	83	449	22	2	4
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	28	"C"	0	83	454	22	0	5
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	29	"AB"	0	83	458	22	0	4
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	30	"B"	1	92	488	24	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	31	"A"	1	100	522	26	3	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	32	"CD"	1	110	555	27	3	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	1	"B"	1	109	560	28	1	4
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	2	"C"	0	109	562	28	0	2
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	3	"AB"	0	109	562	28	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	4	"CD"	1	115	594	29	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	5	"AB"	0	115	596	29	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	6	"AB"	0	115	596	29	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	7	"CD"	1	121	629	31	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	8	"B"	1	125	659	32	3	27
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	9	"C"	0	124	667	33	3	5
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	10	"D"	0	124	667	33	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	11	"C"	0	124	672	33	0	5
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	12	"CD"	1	128	704	35	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	13	"A"	1	132	736	36	2	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	14	"D"	0	131	740	37	4	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	15	"A"	1	136	769	38	0	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	16	"AB"	0	136	774	38	3	2
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	17	"CD"	1	141	807	40	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	18	"B"	1	142	828	41	2	19
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	19	"A"	1	146	861	43	3	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	20	"AB"	0	146	866	43	2	3
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	21	"CD"	1	151	897	44	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	22	"D"	0	151	899	44	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	23	"CD"	1	155	930	46	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	24	"AB"	0	155	933	46	2	1
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	1	"D"	0	155	933	46	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	2	"AB"	0	155	937	46	0	4
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	3	"CD"	1	156	970	48	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	4	"A"	1	158	1002	50	2	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	5	"C"	0	158	1014	50	3	9
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	6	"B"	1	160	1036	51	0	22
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	7	"C"	0	160	1038	51	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	8	"AB"	0	160	1038	51	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	9	"AB"	0	160	1038	51	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	10	"A"	1	161	1068	53	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	11	"AB"	0	161	1071	53	3	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	12	"B"	1	163	1100	55	0	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	13	"CD"	1	166	1133	56	3	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	14	"D"	0	166	1135	56	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	15	"CD"	1	167	1165	58	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	16	"CD"	1	170	1199	59	1	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	1	"B"	1	172	1227	61	1	27
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	2	"A"	1	173	1249	62	2	20
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	3	"AB"	0	173	1251	62	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	4	"CD"	1	175	1285	64	0	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	5	"AB"	0	175	1289	64	1	3
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	6	"C"	0	175	1289	64	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	7	"D"	0	175	1289	64	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	8	"C"	0	175	1289	64	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	9	"AB"	0	175	1291	64	0	2
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	10	"CD"	1	177	1323	66	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	11	"A"	1	180	1356	67	2	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	12	"CD"	1	183	1389	69	2	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	13	"D"	0	183	1391	69	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	14	"B"	1	185	1421	71	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	15	"AB"	0	185	1426	71	4	1
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	9	16	"CD"	1	188	1460	73	0	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	1	"CD"	1	191	1495	74	2	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	2	"B"	1	192	1525	76	2	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	3	"AB"	0	192	1527	76	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	4	"D"	0	192	1527	76	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	5	"C"	0	192	1530	76	0	3
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	6	"D"	0	192	1530	76	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	7	"CD"	1	194	1563	78	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	8	"AB"	0	194	1565	78	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	9	"B"	1	194	1565	78	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	10	"C"	0	194	1565	78	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	11	"AB"	0	194	1565	78	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	12	"CD"	1	197	1599	79	0	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	13	"CD"	1	200	1635	81	2	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	14	"A"	1	202	1668	83	1	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	15	"A"	1	204	1705	85	3	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	10	16	"AB"	0	204	1710	85	2	3
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	1	"C"	0	204	1710	85	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	2	"AB"	0	204	1710	85	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	3	"D"	0	204	1710	85	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	4	"B"	1	206	1737	86	0	27
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	5	"CD"	1	209	1773	88	3	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	6	"CD"	1	211	1807	90	2	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	7	"AB"	0	211	1808	90	1	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	8	"B"	1	214	1838	91	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	9	"A"	1	216	1874	93	2	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	10	"CD"	1	218	1908	95	3	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	11	"C"	0	218	1913	95	1	4
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	12	"CD"	1	220	1945	97	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	13	"CD"	1	223	1976	98	2	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	14	"B"	1	225	2008	100	2	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	15	"C"	0	225	2014	100	5	1
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	16	"D"	0	225	2014	100	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	17	"D"	0	225	2014	100	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	18	"AB"	0	225	2017	100	0	3
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	19	"AB"	0	225	2017	100	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	20	"A"	1	228	2049	102	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	21	"AB"	0	228	2051	102	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	22	"A"	1	230	2085	104	0	34
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	23	"AB"	0	230	2087	104	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	11	24	"CD"	1	232	2120	106	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	1	"D"	0	232	2122	106	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	2	"B"	1	235	2151	107	0	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	3	"C"	0	235	2154	107	3	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	4	"B"	1	237	2184	109	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	5	"F"	0	237	2196	109	2	10
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	6	"A"	1	239	2227	111	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	7	"B"	1	241	2257	112	3	27
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	8	"C"	0	241	2259	112	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	9	"A"	1	243	2288	114	0	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	10	"F"	0	243	2290	114	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	11	"A"	1	245	2320	116	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	12	"CD"	1	247	2351	117	2	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	13	"CD"	1	249	2383	119	2	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	14	"A"	1	251	2413	120	2	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	15	"F"	0	251	2416	120	3	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	16	"AB"	0	251	2417	120	0	1
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	17	"F"	0	251	2417	120	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	18	"F"	0	251	2417	120	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	19	"E"	0	250	2430	121	0	13
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	20	"A"	1	252	2463	123	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	21	"AB"	0	252	2466	123	3	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	22	"D"	0	252	2466	123	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	23	"B"	1	255	2493	124	0	27
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	24	"A"	1	257	2529	126	3	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	25	"A"	1	259	2560	128	2	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	26	"CD"	1	262	2593	129	2	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	27	"AB"	0	262	2595	129	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	28	"B"	1	263	2623	131	0	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	29	"F"	0	263	2625	131	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	30	"E"	0	263	2625	131	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	31	"B"	1	266	2653	132	0	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	32	"B"	1	268	2688	134	3	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	33	"E"	0	268	2690	134	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	34	"A"	1	270	2720	136	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	35	"E"	0	270	2722	136	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	36	"B"	1	273	2753	137	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	37	"E"	0	273	2755	137	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"2"	12	38	"E"	0	273	2755	137	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	1	"E"	0	273	2755	137	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	2	"CD"	1	275	2787	139	0	32
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	3	"A"	1	277	2822	141	2	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	4	"AB"	0	277	2824	141	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	5	"C"	0	277	2824	141	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	6	"CD"	1	281	2857	142	0	33
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	7	"B"	1	284	2886	144	1	28
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	8	"B"	1	287	2918	145	2	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	9	"A"	1	289	2951	147	3	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	10	"D"	0	289	2955	147	3	1
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	11	"AB"	0	289	2955	147	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3a"	13	12	"F"	0	289	2955	147	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3b"	14	1	"EF"	0	289	2962	147	0	7
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3b"	14	2	"EF"	0	289	2993	147	1	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	1	"F"	0	289	2994	147	1	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	2	"E"	0	289	2994	147	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	3	"F"	0	289	2994	147	0	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	4	"EF"	0	289	3023	147	0	29
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	5	"E"	0	289	3024	147	1	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	6	"EF"	0	289	3055	147	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	7	"F"	0	289	3057	147	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	8	"EF"	0	289	3087	147	0	30
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	9	"F"	0	289	3089	147	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	10	"EF"	0	289	3120	147	0	31
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	11	"E"	0	289	3122	147	2	0
"PP"	9	5	"deleted"	"deleted"	"deleted"	"deleted"	"3c"	15	12	"E"	0	289	3122	147	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	1	1	"Z"	1	6	19	0	0	19
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	1	2	"Y"	0	5	21	1	2	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	2	1	"Y"	0	5	21	1	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	2	2	"Z"	1	10	50	2	0	29
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	3	1	"Z"	1	11	59	2	2	7
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	3	2	"Y"	0	10	60	3	1	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	4	1	"Y"	0	10	60	3	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	4	2	"Z"	1	11	81	4	0	21
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	5	1	"Y"	0	11	82	4	1	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"practice"	5	2	"Z"	1	12	107	5	0	25
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	1	"AB"	0	0	5	0	0	5
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	2	"CD"	1	8	30	1	0	25
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	3	"CD"	1	17	59	2	2	27
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	4	"B"	1	16	62	3	2	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	5	"CD"	1	22	85	4	0	23
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	6	"AB"	0	22	86	4	1	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	7	"AB"	0	22	86	4	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	8	"B"	1	22	86	4	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	9	"C"	0	22	99	4	0	13
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	10	"D"	0	21	100	5	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	11	"A"	1	21	100	5	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	12	"AB"	0	21	100	5	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	13	"D"	0	21	104	5	0	4
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	14	"D"	0	21	104	5	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	15	"C"	0	20	122	6	0	18
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	16	"CD"	1	27	147	7	0	25
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	17	"AB"	0	27	152	7	4	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	18	"CD"	1	32	171	8	0	19
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	19	"C"	0	32	174	8	2	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	20	"AB"	0	32	175	8	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	21	"A"	1	32	175	8	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	22	"CD"	1	39	197	9	0	22
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	23	"C"	0	38	204	10	6	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	24	"CD"	1	44	227	11	0	23
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	25	"B"	1	44	231	11	4	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	26	"A"	1	44	231	11	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	27	"CD"	1	49	254	12	0	23
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	28	"D"	0	49	259	12	4	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	29	"AB"	0	49	259	12	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	30	"AB"	0	48	260	13	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	31	"B"	1	48	261	13	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1a"	6	32	"A"	1	48	262	13	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	1	"A"	1	48	262	13	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	2	"A"	1	48	262	13	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	3	"AB"	0	48	262	13	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	4	"CD"	1	53	289	14	0	27
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	5	"C"	0	53	297	14	6	2
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	6	"AB"	0	53	297	14	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	7	"AB"	0	53	297	14	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	8	"D"	0	53	297	14	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	9	"B"	1	53	297	14	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	10	"B"	1	53	297	14	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	11	"CD"	1	56	323	16	0	26
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	12	"AB"	0	56	328	16	5	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	13	"AB"	0	56	328	16	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	14	"D"	0	56	329	16	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	15	"CD"	1	59	354	17	0	25
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	16	"A"	1	59	357	17	3	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	17	"CD"	1	61	381	19	1	23
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	18	"B"	1	61	383	19	2	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	19	"CD"	1	64	405	20	0	22
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	20	"AB"	0	64	408	20	3	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	21	"CD"	1	68	432	21	0	24
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	22	"C"	0	68	438	21	5	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	23	"C"	0	68	438	21	0	0
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1b"	7	24	"D"	0	67	440	22	0	2
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	1	"AB"	0	67	441	22	0	1
"PP"	10	1	"deleted"	"deleted"	"deleted"	"deleted"	"1c"	8	2	"C"	0	67	441	22	0	0
