subj,block,trial,stim,resp,rt
6,3,8,4,A,2252
6,3,9,1,A,2373
6,3,10,7,A,2137
6,4,1,2,A,14
6,4,2,10,B,10922
6,4,3,5,A,5534
6,4,4,9,B,2699
6,4,5,1,A,2334
6,4,6,3,A,26697
6,4,7,8,B,3571
6,4,8,4,A,2453
6,4,9,6,B,2214
6,4,10,7,B,6166
6,5,1,6,B,2578
6,5,2,5,A,3209
6,5,3,1,A,2097
6,5,4,10,B,4648
6,5,5,8,B,5933
6,5,6,9,B,1971
6,5,7,7,B,3731
6,5,8,3,A,7282
6,5,9,4,A,3214
6,5,10,2,A,5244
6,6,1,9,B,15637
6,6,2,4,A,5324
6,6,3,6,B,5127
6,6,4,7,B,6688
6,6,5,2,A,3169
6,6,6,8,B,6526
6,6,7,10,B,7522
6,6,8,3,A,3646
6,6,9,1,A,3185
6,6,10,5,A,3575
6,7,1,8,B,4525
6,7,2,3,A,2096
6,7,3,6,B,3168
6,7,4,10,B,4686
6,7,5,7,B,4725
6,7,6,4,A,2703
6,7,7,5,A,4972
6,7,8,1,A,4849
6,7,9,9,B,4204
6,7,10,2,A,4046
6,8,1,9,B,5766
6,8,2,7,B,3986
6,8,3,3,A,2814
6,8,4,10,B,6883
6,8,5,8,B,6010
6,8,6,1,A,3531
6,8,7,5,A,2789
6,8,8,2,A,5066
6,8,9,6,B,3295
6,8,10,4,A,2615
7,1,1,5,A,11319
7,1,2,10,B,25629
7,1,3,8,B,4364
7,1,4,4,A,4877
7,1,5,3,A,3248
7,1,6,2,B,1837
7,1,7,7,A,8783
7,1,8,9,B,1001
7,1,9,1,A,1133
7,1,10,6,B,1787
7,2,1,9,B,5696
7,2,2,2,A,11847
7,2,3,1,A,2213
7,2,4,3,B,4528
7,2,5,7,B,1818
7,2,6,4,A,4454
7,2,7,6,B,2534
7,2,8,8,A,1783
7,2,9,10,B,1339
7,2,10,5,A,1461
7,3,1,3,A,11643
7,3,2,7,B,4326
7,3,3,4,A,9808
7,3,4,1,A,2011
7,3,5,8,A,7004
7,3,6,2,A,3248
7,3,7,10,B,1849
7,3,8,5,A,4048
7,3,9,6,B,2530
7,3,10,9,B,2131
7,4,1,10,B,5136
7,4,2,9,B,4371
7,4,3,8,A,5290
7,4,4,7,B,1816
7,4,5,4,A,2853
7,4,6,5,A,2416
7,4,7,2,A,2774
7,4,8,1,A,4897
7,4,9,3,A,5967
7,4,10,6,B,6093
7,5,1,1,A,13727
7,5,2,3,A,11051
7,5,3,9,B,4174
7,5,4,5,A,4816
7,5,5,7,B,6246
7,5,6,4,A,2577
7,5,7,6,B,3688
7,5,8,10,B,1067
7,5,9,8,A,2419
7,5,10,2,A,1737
7,6,1,3,A,3507
7,6,2,6,B,6566
7,6,3,4,A,43652
7,6,4,5,A,2220
7,6,5,8,A,1342
7,6,6,7,B,2609
7,6,7,2,A,964
7,6,8,9,B,1908
7,6,9,10,A,1894
