subj,block,trial,stim,resp,rt
17,4,6,6,B,975
17,4,7,10,B,811
17,4,8,3,A,691
17,4,9,4,A,1220
17,4,10,5,A,1257
17,5,1,2,B,1103
17,5,2,4,A,739
17,5,3,8,B,732
17,5,4,10,B,973
17,5,5,1,A,1019
17,5,6,9,B,740
17,5,7,7,A,971
17,5,8,5,A,896
17,5,9,6,B,863
17,5,10,3,A,927
17,6,1,10,B,979
17,6,2,5,A,1055
17,6,3,6,B,2936
17,6,4,9,B,1415
17,6,5,8,B,774
17,6,6,7,A,851
17,6,7,2,B,894
17,6,8,1,A,3288
17,6,9,4,A,1014
17,6,10,3,A,825
17,7,1,2,B,2017
17,7,2,3,A,976
17,7,3,9,B,772
17,7,4,10,B,939
17,7,5,6,B,729
17,7,6,5,A,771
17,7,7,8,B,778
17,7,8,7,A,896
17,7,9,4,A,892
17,7,10,1,A,1489
17,8,1,2,B,1258
17,8,2,10,B,1050
17,8,3,4,A,974
17,8,4,7,A,1410
17,8,5,5,A,1062
17,8,6,9,B,935
17,8,7,3,A,2414
17,8,8,1,A,1291
17,8,9,8,B,1100
17,8,10,6,B,978
18,1,1,5,A,26593
18,1,2,8,B,7163
18,1,3,4,A,11909
18,1,4,1,A,9187
18,1,5,3,A,6575
18,1,6,6,B,9507
18,1,7,7,B,8276
18,1,8,9,B,6651
18,1,9,10,B,9133
18,1,10,2,A,4999
18,2,1,7,B,8811
18,2,2,8,B,6675
18,2,3,3,A,4447
18,2,4,2,A,4089
18,2,5,10,B,10224
18,2,6,4,A,5759
18,2,7,1,A,3641
18,2,8,5,A,3734
18,2,9,6,B,11020
18,2,10,9,B,4317
18,3,1,6,B,7032
18,3,2,3,A,3683
18,3,3,8,B,3080
18,3,4,9,B,3450
18,3,5,4,A,4359
18,3,6,2,A,4970
18,3,7,1,A,3004
18,3,8,5,A,10422
18,3,9,7,B,4600
18,3,10,10,B,5006
18,4,1,10,B,8236
18,4,2,3,A,8671
18,4,3,8,B,5370
18,4,4,7,B,3842
18,4,5,9,B,5210
18,4,6,5,A,5482
18,4,7,6,B,9440
18,4,8,1,A,3929
18,4,9,4,A,3968
18,4,10,2,A,3484
18,5,1,2,A,9902
18,5,2,4,A,2765
18,5,3,1,A,2961
18,5,4,5,A,4007
18,5,5,8,B,6038
18,5,6,3,A,3839
18,5,7,9,B,5157
18,5,8,10,B,5477
18,5,9,7,B,5318
18,5,10,6,B,3889
18,6,1,1,A,8675
18,6,2,9,B,3172
18,6,3,2,A,4046
18,6,4,5,A,6847
18,6,5,7,B,5085
18,6,6,3,A,13298
18,6,7,10,B,5042
18,6,8,8,B,6158
18,6,9,4,A,3481
18,6,10,6,B,4805
18,7,1,2,A,12307
18,7,2,10,B,5994
18,7,3,6,B,3522
18,7,4,7,B,7394
18,7,5,5,A,6711
18,7,6,3,A,7200
18,7,7,8,B,6518
18,7,8,4,A,4183
18,7,9,9,B,3884
18,7,10,1,A,4318
18,8,1,9,B,10420
18,8,2,7,B,5037
18,8,3,10,B,5844
18,8,4,2,A,65545
18,8,5,1,A,2488
18,8,6,6,B,2649
18,8,7,3,A,4609
18,8,8,8,B,4417
18,8,9,4,A,2725
18,8,10,5,A,3776
19,1,1,8,B,10906
19,1,2,4,A,5882
19,1,3,9,B,3412
19,1,4,5,A,10608
19,1,5,1,A,3722
19,1,6,3,A,4724
19,1,7,6,B,2689
19,1,8,2,A,7681
19,1,9,10,B,4405
19,1,10,7,B,4087
19,2,1,3,A,8118
19,2,2,4,A,11114
19,2,3,1,A,2007
19,2,4,8,B,2174
19,2,5,6,B,2584
19,2,6,9,B,2933
19,2,7,2,A,8954
19,2,8,5,A,4168
19,2,9,7,B,3015
19,2,10,10,B,1743
19,3,1,3,A,2692
19,3,2,9,B,14111
19,3,3,6,B,1853
19,3,4,5,A,2293
19,3,5,10,B,2097
19,3,6,8,B,1851
19,3,7,4,A,2809
19,3,8,1,A,1457
19,3,9,2,A,3655
19,3,10,7,B,2453
19,4,1,3,A,3452
19,4,2,9,B,5922
19,4,3,1,A,1607
19,4,4,4,A,8882
19,4,5,7,B,5406
19,4,6,10,B,2219
19,4,7,6,B,2415
19,4,8,2,A,3248
19,4,9,5,A,3763
19,4,10,8,B,1668
19,5,1,10,B,6128
19,5,2,6,B,1617
19,5,3,8,B,1812
19,5,4,5,A,2168
19,5,5,7,B,4125
19,5,6,4,B,4328
19,5,7,2,A,3013
19,5,8,1,A,3006
19,5,9,3,A,2022
19,5,10,9,B,4412
19,6,1,6,B,2137
19,6,2,3,A,1656
19,6,3,8,B,1738
19,6,4,1,A,1378
19,6,5,7,B,5084
19,6,6,2,A,1898
19,6,7,5,A,3967
19,6,8,4,A,3446
19,6,9,9,B,1858
19,6,10,10,B,6129
19,7,1,1,A,2130
19,7,2,10,B,2967
19,7,3,3,A,1370
19,7,4,9,B,3251
19,7,5,7,B,2352
19,7,6,4,A,1778
19,7,7,5,A,2690
19,7,8,6,B,2453
19,7,9,2,A,5487
19,7,10,8,B,1948
19,8,1,1,A,2687
19,8,2,4,A,2771
19,8,3,6,B,1455
19,8,4,9,B,4171
19,8,5,7,B,3890
19,8,6,2,A,4088
19,8,7,3,A,2493
19,8,8,10,B,1458
19,8,9,5,A,5162
19,8,10,8,B,1534
20,1,1,9,B,5529
20,1,2,7,B,13558
20,1,3,8,A,2014
20,1,4,4,A,4735
20,1,5,10,B,1294
20,1,6,2,A,2687
20,1,7,6,B,1583
20,1,8,5,A,865
20,1,9,3,B,2217
20,1,10,1,A,2573
20,2,1,2,A,4884
20,2,2,9,B,5721
20,2,3,3,A,4127
20,2,4,6,B,2337
20,2,5,10,B,6288
20,2,6,5,A,4886
20,2,7,4,A,2927
20,2,8,8,B,6540
20,2,9,7,B,3055
20,2,10,1,A,1538
20,3,1,9,B,3893
20,3,2,2,A,1707
20,3,3,6,B,1690
20,3,4,8,B,4505
20,3,5,1,A,3146
20,3,6,4,A,2411
20,3,7,3,A,3128
20,3,8,5,A,5171
20,3,9,7,B,3183
20,3,10,10,B,5607
20,4,1,8,A,12363
20,4,2,3,A,4289
20,4,3,1,A,2490
20,4,4,7,B,2296
20,4,5,6,B,2382
20,4,6,5,A,3252
20,4,7,2,A,2973
20,4,8,4,A,1934
20,4,9,10,B,6089
20,4,10,9,B,3928
20,5,1,6,B,4609
20,5,2,3,A,5569
20,5,3,4,A,3169
20,5,4,10,B,4168
20,5,5,7,B,3728
20,5,6,8,B,3506
20,5,7,9,B,2698
20,5,8,1,A,3091
20,5,9,5,A,3414
20,5,10,2,A,4008
20,6,1,9,B,2937
20,6,2,3,A,4052
20,6,3,8,B,3969
20,6,4,5,A,6087
20,6,5,4,A,2129
20,6,6,1,A,5203
20,6,7,6,B,3645
20,6,8,2,A,2707
20,6,9,7,B,2296
20,6,10,10,B,1812
20,7,1,1,A,3294
20,7,2,8,B,2449
20,7,3,5,A,3129
20,7,4,3,A,4064
20,7,5,6,B,1654
20,7,6,2,A,2056
20,7,7,9,B,6731
20,7,8,10,B,2100
20,7,9,4,A,2531
20,7,10,7,B,2850
20,8,1,9,B,4289
20,8,2,5,A,3813
20,8,3,7,B,2220
20,8,4,6,B,1778
20,8,5,3,A,2781
20,8,6,4,A,2212
20,8,7,1,A,3247
20,8,8,10,B,2488
20,8,9,8,B,1774
20,8,10,2,A,3257
21,1,1,4,A,4678
21,1,2,5,A,1763
21,1,3,1,A,1976
21,1,4,9,B,15853
21,1,5,10,B,1711
21,1,6,3,A,2034
21,1,7,6,B,2634
21,1,8,7,A,2483
21,1,9,2,B,1080
21,1,10,8,B,961
21,2,1,4,A,2209
21,2,2,8,B,1973
21,2,3,5,A,1175
21,2,4,10,B,1288
21,2,5,9,B,934
21,2,6,7,A,1016
21,2,7,1,A,3407
21,2,8,2,B,2210
21,2,9,3,A,1179
21,2,10,6,B,1270
21,3,1,1,A,2815
21,3,2,3,A,1337
21,3,3,9,B,1137
21,3,4,6,B,2175
21,3,5,10,B,1097
21,3,6,7,A,973
21,3,7,2,B,860
21,3,8,5,A,971
21,3,9,4,A,1414
21,3,10,8,B,1291
21,4,1,2,B,2971
21,4,2,6,B,935
21,4,3,1,A,1053
21,4,4,5,A,1417
21,4,5,9,B,934
21,4,6,4,A,1213
21,4,7,10,B,900
21,4,8,8,B,1160
21,4,9,7,A,913
21,4,10,3,A,817
21,5,1,2,B,3004
21,5,2,8,B,1133
21,5,3,4,A,813
21,5,4,3,A,1410
21,5,5,9,B,1737
21,5,6,5,A,1015
21,5,7,7,A,1094
21,5,8,1,A,651
21,5,9,10,B,894
21,5,10,6,B,811
21,6,1,1,A,17415
21,6,2,8,B,1049
21,6,3,7,A,1490
21,6,4,10,B,939
21,6,5,6,B,2575
21,6,6,9,B,1736
21,6,7,3,A,776
21,6,8,5,A,1010
21,6,9,4,A,889
21,6,10,2,B,895
21,7,1,1,A,2375
21,7,2,3,A,1256
21,7,3,7,A,622
21,7,4,8,B,808
21,7,5,6,B,500
21,7,6,4,A,660
21,7,7,5,A,770
21,7,8,9,B,920
21,7,9,2,B,574
21,7,10,10,B,540
21,8,1,6,B,1647
21,8,2,3,A,782
21,8,3,2,B,994
21,8,4,7,A,875
21,8,5,5,A,816
21,8,6,1,A,695
21,8,7,8,B,659
21,8,8,10,B,644
21,8,9,9,B,463
21,8,10,4,A,854
22,1,1,4,A,4142
22,1,2,6,B,1847
22,1,3,3,A,1161
22,1,4,9,B,4514
22,1,5,8,B,2502
22,1,6,2,B,2048
22,1,7,1,A,1088
22,1,8,10,B,798
22,1,9,5,A,860
22,1,10,7,A,1686
22,2,1,9,B,5964
22,2,2,2,B,1617
22,2,3,3,A,1138
22,2,4,4,A,776
22,2,5,5,A,1130
22,2,6,7,A,971
22,2,7,1,A,826
22,2,8,6,B,1453
22,2,9,10,B,3051
22,2,10,8,B,1532
22,3,1,1,A,2020
22,3,2,10,B,938
22,3,3,3,A,660
22,3,4,4,A,573
22,3,5,7,A,539
22,3,6,5,A,380
22,3,7,8,B,535
22,3,8,6,B,777
22,3,9,9,B,732
22,3,10,2,B,1692
22,4,1,3,A,1619
22,4,2,4,A,698
22,4,3,6,B,614
22,4,4,7,A,1134
22,4,5,10,B,2502
22,4,6,5,A,737
22,4,7,1,A,1937
22,4,8,2,B,737
22,4,9,8,B,709
22,4,10,9,B,655
22,5,1,2,B,1454
22,5,2,3,A,617
22,5,3,10,B,576
22,5,4,8,B,504
22,5,5,5,A,582
22,5,6,9,B,578
22,5,7,7,A,1011
22,5,8,4,A,1169
22,5,9,6,B,656
22,5,10,1,A,841
22,6,1,4,A,1495
22,6,2,3,A,692
22,6,3,10,B,929
22,6,4,8,B,1130
22,6,5,5,A,535
22,6,6,7,A,696
22,6,7,1,A,693
22,6,8,6,A,434
22,6,9,9,B,547
22,6,10,2,B,460
22,7,1,3,A,1137
22,7,2,5,A,738
22,7,3,8,B,503
22,7,4,7,A,550
22,7,5,9,B,703
22,7,6,10,B,1176
22,7,7,4,A,501
22,7,8,6,B,578
22,7,9,2,B,895
22,7,10,1,A,931
22,8,1,8,B,3528
22,8,2,3,A,779
22,8,3,7,A,2052
22,8,4,2,B,732
22,8,5,9,B,1456
22,8,6,5,A,578
22,8,7,4,A,493
22,8,8,6,B,1129
22,8,9,10,B,691
22,8,10,1,A,661
23,1,1,4,A,8790
23,1,2,10,B,4407
23,1,3,2,B,11947
23,1,4,1,A,2694
23,1,5,8,B,3202
23,1,6,7,A,5121
23,1,7,3,A,2805
23,1,8,9,B,1902
23,1,9,6,B,2094
23,1,10,5,A,1847
23,2,1,1,A,13793
23,2,2,3,A,9315
23,2,3,8,B,9231
23,2,4,6,B,5092
23,2,5,5,A,3289
23,2,6,9,B,5802
23,2,7,7,B,7963
23,2,8,4,A,4127
23,2,9,10,B,2892
23,2,10,2,A,2414
23,3,1,6,B,3403
23,3,2,3,A,11665
23,3,3,7,B,6886
23,3,4,2,A,5489
23,3,5,10,B,6560
23,3,6,9,B,3366
23,3,7,1,A,4480
23,3,8,8,B,4729
23,3,9,5,A,8959
23,3,10,4,A,10907
23,4,1,4,A,5124
23,4,2,3,A,7676
23,4,3,1,A,2128
23,4,4,7,B,4652
23,4,5,2,A,3128
23,4,6,8,B,7962
23,4,7,10,B,5282
23,4,8,9,B,8761
23,4,9,6,B,3047
23,4,10,5,A,5051
23,5,1,5,A,8483
23,5,2,10,B,3492
23,5,3,8,B,4290
23,5,4,1,A,8478
23,5,5,2,A,3645
23,5,6,6,B,3570
23,5,7,3,B,7999
23,5,8,7,B,8198
23,5,9,4,A,3049
23,5,10,9,B,5121
23,6,1,3,A,28031
23,6,2,6,B,4050
23,6,3,4,A,4881
23,6,4,2,A,6006
23,6,5,1,A,2130
23,6,6,8,B,4922
23,6,7,5,A,9711
23,6,8,10,B,6087
23,6,9,9,B,5961
23,6,10,7,B,10433
23,7,1,6,B,10115
23,7,2,7,B,3406
23,7,3,10,B,8279
23,7,4,8,B,15500
23,7,5,2,A,4728
23,7,6,5,A,4251
23,7,7,9,B,3286
23,7,8,4,A,3525
23,7,9,1,A,2374
23,7,10,3,A,3134
23,8,1,8,B,8398
23,8,2,5,A,10752
23,8,3,2,A,3409
23,8,4,4,A,5206
23,8,5,10,B,3567
23,8,6,1,A,2185
23,8,7,9,B,3517
23,8,8,6,B,1778
23,8,9,3,A,4364
23,8,10,7,B,8203
24,1,1,7,A,5686
24,1,2,5,A,4522
24,1,3,6,B,4446
24,1,4,4,A,6247
24,1,5,8,B,4251
24,1,6,10,B,5443
24,1,7,1,A,3291
24,1,8,2,B,1137
24,1,9,9,B,1229
24,1,10,3,A,1183
24,2,1,4,A,3250
24,2,2,10,B,1930
24,2,3,7,A,1129
24,2,4,9,B,731
24,2,5,8,B,814
24,2,6,1,A,2449
24,2,7,6,B,1252
24,2,8,3,A,975
24,2,9,5,A,3046
24,2,10,2,B,780
24,3,1,10,B,2458
24,3,2,1,A,1580
24,3,3,5,A,11376
24,3,4,9,A,2307
24,3,5,3,A,10001
24,3,6,4,A,1059
24,3,7,7,A,5757
24,3,8,2,B,1090
24,3,9,8,B,899
24,3,10,6,B,2053
24,4,1,9,B,9955
24,4,2,7,A,1936
24,4,3,4,A,617
24,4,4,6,B,1415
24,4,5,3,A,854
24,4,6,1,A,579
24,4,7,10,B,574
24,4,8,5,A,572
24,4,9,8,B,540
24,4,10,2,B,621
24,5,1,9,B,1013
24,5,2,2,B,893
24,5,3,10,B,850
24,5,4,7,A,534
24,5,5,8,B,937
24,5,6,6,B,711
24,5,7,1,A,1095
24,5,8,3,A,691
24,5,9,4,A,713
24,5,10,5,A,728
24,6,1,3,A,2775
24,6,2,4,A,801
24,6,3,1,A,592
24,6,4,6,B,1214
24,6,5,5,A,902
24,6,6,10,A,980
24,6,7,2,B,974
24,6,8,8,B,900
24,6,9,7,A,818
24,6,10,9,B,898
24,7,1,7,A,2297
24,7,2,4,A,1053
24,7,3,8,B,816
24,7,4,2,B,737
24,7,5,3,A,580
24,7,6,1,A,495
24,7,7,10,B,742
24,7,8,9,B,894
24,7,9,5,A,850
24,7,10,6,B,536
24,8,1,2,B,1618
24,8,2,10,B,4132
24,8,3,7,A,851
24,8,4,1,A,745
24,8,5,8,B,577
24,8,6,5,A,929
24,8,7,9,B,893
24,8,8,6,B,1488
24,8,9,4,A,895
24,8,10,3,A,2769
25,1,1,8,B,11562
25,1,2,2,A,11972
25,1,3,1,A,8599
25,1,4,9,B,3478
25,1,5,7,B,9144
25,1,6,4,A,4947
25,1,7,6,B,4363
25,1,8,5,A,5823
25,1,9,3,A,11768
25,1,10,10,B,6113
25,2,1,4,A,9508
25,2,2,3,A,7320
25,2,3,2,A,5965
25,2,4,10,B,7211
25,2,5,9,B,4605
25,2,6,8,B,16611
25,2,7,5,A,4766
25,2,8,1,A,4650
25,2,9,6,B,5007
25,2,10,7,B,8445
25,3,1,8,B,17373
25,3,2,7,B,8874
25,3,3,5,A,8167
25,3,4,10,B,6763
25,3,5,6,B,5404
25,3,6,2,A,8429
25,3,7,1,A,3362
25,3,8,4,A,3538
25,3,9,9,B,3530
25,3,10,3,A,3240
25,4,1,5,A,7820
25,4,2,9,B,4610
25,4,3,2,A,9076
25,4,4,3,A,15542
25,4,5,1,A,2646
25,4,6,8,B,6603
25,4,7,10,B,3294
25,4,8,6,B,2386
25,4,9,7,B,6722
25,4,10,4,A,2166
25,5,1,10,B,19125
25,5,2,6,B,1413
25,5,3,8,B,5277
25,5,4,9,B,3206
25,5,5,2,A,2731
25,5,6,7,B,4042
25,5,7,4,A,3846
25,5,8,3,A,3253
25,5,9,5,A,1732
25,5,10,1,A,4921
25,6,1,4,A,20728
25,6,2,9,B,4245
25,6,3,1,A,2293
25,6,4,3,A,6046
25,6,5,7,B,4450
25,6,6,2,A,2084
25,6,7,5,A,4043
25,6,8,8,B,4607
25,6,9,6,B,2809
25,6,10,10,B,2744
25,7,1,3,A,5284
25,7,2,9,B,3494
25,7,3,6,B,1766
25,7,4,2,A,2886
25,7,5,1,A,1529
25,7,6,5,A,23433
25,7,7,4,A,14617
25,7,8,10,B,3863
25,7,9,8,B,6478
25,7,10,7,B,4683
25,8,1,6,B,21040
25,8,2,4,A,3016
25,8,3,7,B,3286
25,8,4,3,A,3566
25,8,5,10,B,2006
25,8,6,1,A,1901
25,8,7,8,B,4409
25,8,8,5,A,7479
25,8,9,9,B,3127
25,8,10,2,A,2813
26,1,1,4,A,8329
26,1,2,5,A,2931
26,1,3,6,B,1579
26,1,4,10,B,1771
26,1,5,1,A,1615
26,1,6,3,A,1172
26,1,7,7,A,1018
26,1,8,2,A,1016
26,1,9,9,B,1614
26,1,10,8,B,1132
26,2,1,4,A,9835
26,2,2,8,B,1023
26,2,3,7,A,849
26,2,4,2,B,894
26,2,5,1,A,770
26,2,6,9,B,775
26,2,7,5,A,1011
26,2,8,3,A,1011
26,2,9,6,B,928
26,2,10,10,B,1169
26,3,1,6,B,1894
26,3,2,5,A,850
26,3,3,7,A,814
26,3,4,10,B,893
26,3,5,8,B,1568
26,3,6,4,A,496
26,3,7,3,A,413
26,3,8,9,B,534
26,3,9,2,B,1055
26,3,10,1,A,899
26,4,1,6,B,1938
26,4,2,1,A,1186
26,4,3,2,B,1139
26,4,4,4,A,981
26,4,5,5,A,855
26,4,6,8,B,1387
26,4,7,10,B,980
26,4,8,7,A,1015
26,4,9,3,A,1053
26,4,10,9,B,1535
26,5,1,2,A,18942
26,5,2,1,A,1657
26,5,3,8,A,1685
26,5,4,7,B,1014
26,5,5,9,B,2091
26,5,6,5,A,1097
26,5,7,10,B,1053
26,5,8,4,A,857
26,5,9,3,B,860
26,5,10,6,B,1092
26,6,1,1,A,5527
26,6,2,2,A,1295
26,6,3,4,A,780
26,6,4,3,B,786
26,6,5,8,A,680
26,6,6,6,B,769
26,6,7,10,B,776
26,6,8,5,A,2088
26,6,9,7,B,3780
26,6,10,9,B,1093
26,7,1,6,B,2845
26,7,2,9,B,1619
26,7,3,7,B,3650
26,7,4,10,B,3886
26,7,5,8,A,1412
26,7,6,4,A,969
26,7,7,1,A,975
26,7,8,2,A,809
26,7,9,5,A,701
26,7,10,3,A,979
26,8,1,10,B,44798
26,8,2,2,A,894
26,8,3,7,B,850
26,8,4,4,A,815
26,8,5,3,B,935
26,8,6,6,B,735
26,8,7,8,A,699
26,8,8,1,A,625
26,8,9,9,B,614
26,8,10,5,A,654
27,1,1,4,A,6681
27,1,2,3,A,4209
27,1,3,10,B,6965
27,1,4,2,A,14361
27,1,5,5,A,3811
27,1,6,1,A,3295
27,1,7,8,B,4441
27,1,8,6,B,2890
27,1,9,7,A,3172
27,1,10,9,B,3211
27,2,1,9,B,8599
27,2,2,10,B,4567
27,2,3,6,B,3603
27,2,4,1,A,3688
27,2,5,4,A,2770
27,2,6,8,B,3170
27,2,7,7,A,5924
27,2,8,3,A,3048
27,2,9,2,A,2527
27,2,10,5,A,3213
27,3,1,7,B,6572
27,3,2,6,B,3170
27,3,3,4,A,3567
27,3,4,3,A,4564
27,3,5,2,A,7884
27,3,6,1,A,1856
27,3,7,8,B,2777
27,3,8,10,B,2884
27,3,9,5,A,2168
27,3,10,9,B,2249
27,4,1,7,B,11533
27,4,2,4,A,2093
27,4,3,9,B,3444
27,4,4,10,B,2175
27,4,5,6,B,2018
27,4,6,1,A,1536
27,4,7,3,A,3212
27,4,8,2,A,2417
27,4,9,8,B,6443
27,4,10,5,A,2092
27,5,1,3,A,2695
27,5,2,4,A,2408
27,5,3,8,B,11914
27,5,4,2,A,1888
27,5,5,10,B,1813
27,5,6,6,B,2249
27,5,7,5,A,2727
27,5,8,9,B,1538
27,5,9,1,A,1457
27,5,10,7,B,3176
27,6,1,4,A,8603
27,6,2,1,A,2215
27,6,3,3,A,1971
27,6,4,5,A,1816
27,6,5,6,B,2810
27,6,6,10,B,1898
27,6,7,7,B,3888
27,6,8,9,B,5244
27,6,9,2,A,3811
27,6,10,8,B,3413
27,7,1,3,A,10669
27,7,2,9,B,2889
27,7,3,8,B,4331
27,7,4,7,B,3733
27,7,5,6,B,2371
27,7,6,5,A,2212
27,7,7,4,A,2566
27,7,8,2,B,1651
27,7,9,1,A,2931
27,7,10,10,B,2208
27,8,1,2,A,2852
27,8,2,8,B,2131
27,8,3,10,B,1971
27,8,4,3,A,3530
27,8,5,4,A,2127
27,8,6,9,B,2137
27,8,7,6,B,1867
27,8,8,7,B,3332
27,8,9,1,A,1930
27,8,10,5,A,2129
28,1,1,10,B,6835
28,1,2,6,B,3006
28,1,3,8,B,3244
28,1,4,5,A,3006
28,1,5,9,B,1292
28,1,6,1,A,2253
28,1,7,4,A,3403
28,1,8,7,A,3160
28,1,9,3,A,2088
28,1,10,2,B,1372
28,2,1,7,A,2367
28,2,2,3,A,1925
28,2,3,10,B,1095
28,2,4,4,A,1210
28,2,5,2,B,1006
28,2,6,9,B,1332
28,2,7,1,A,1210
28,2,8,8,B,969
28,2,9,5,A,1447
28,2,10,6,B,810
28,3,1,8,B,2206
28,3,2,3,A,933
28,3,3,7,A,1451
28,3,4,2,B,1050
28,3,5,9,B,1248
28,3,6,1,A,3161
28,3,7,4,A,1812
28,3,8,10,B,2403
28,3,9,6,B,2324
28,3,10,5,A,1493
28,4,1,10,B,3091
28,4,2,2,B,9267
28,4,3,1,A,5952
28,4,4,5,A,4083
28,4,5,7,A,3916
28,4,6,8,B,4484
28,4,7,9,B,3198
28,4,8,4,A,2412
28,4,9,6,B,3319
28,4,10,3,A,43433
28,5,1,1,A,12813
28,5,2,9,B,1926
28,5,3,7,B,4007
28,5,4,5,A,3604
28,5,5,6,B,2644
28,5,6,4,A,2810
28,5,7,8,B,1894
28,5,8,10,B,2841
28,5,9,2,A,4728
28,5,10,3,A,5760
28,6,1,1,A,5676
28,6,2,8,B,5156
28,6,3,3,A,4237
28,6,4,10,B,4036
28,6,5,6,B,4038
28,6,6,5,A,2205
28,6,7,4,A,3882
28,6,8,7,B,3728
28,6,9,2,A,3936
28,6,10,9,B,5358
28,7,1,5,A,5040
28,7,2,1,A,3081
28,7,3,3,A,3339
28,7,4,8,B,6040
28,7,5,9,B,5633
28,7,6,2,A,3647
28,7,7,7,B,2971
28,7,8,10,B,3565
28,7,9,4,A,3889
28,7,10,6,B,2888
28,8,1,5,A,6509
28,8,2,9,B,3400
28,8,3,6,B,3302
28,8,4,4,A,2370
28,8,5,10,B,2928
28,8,6,7,B,4047
28,8,7,3,A,5085
28,8,8,8,B,2842
28,8,9,2,A,3805
28,8,10,1,A,4202
29,1,1,7,B,29506
29,1,2,3,A,10275
29,1,3,5,A,14864
29,1,4,1,A,9590
29,1,5,8,B,5204
29,1,6,6,B,8512
29,1,7,9,B,5199
29,1,8,2,A,4768
29,1,9,4,A,6037
29,1,10,10,B,5407
29,2,1,5,A,7848
29,2,2,9,B,3611
29,2,3,1,A,4608
29,2,4,7,B,3968
29,2,5,2,A,4167
29,2,6,6,B,2852
29,2,7,4,A,3806
29,2,8,3,A,4884
29,2,9,8,B,5877
29,2,10,10,B,3685
29,3,1,10,B,3170
29,3,2,1,A,2212
29,3,3,5,A,2892
29,3,4,3,A,7722
29,3,5,4,A,3294
29,3,6,8,B,3932
29,3,7,2,A,147523
29,3,8,9,B,2335
29,3,9,6,B,4128
29,3,10,7,B,2533
29,4,1,4,A,5962
29,4,2,8,B,1773
29,4,3,7,B,3253
29,4,4,2,A,2490
29,4,5,9,B,1894
29,4,6,1,A,2365
29,4,7,6,B,2606
29,4,8,5,A,5131
29,4,9,10,B,2644
29,4,10,3,A,4291
29,5,1,9,B,6402
29,5,2,4,A,5687
29,5,3,2,A,2487
29,5,4,8,B,2211
29,5,5,7,B,1567
29,5,6,5,A,3205
29,5,7,3,A,3088
29,5,8,1,A,1973
29,5,9,6,B,1814
29,5,10,10,B,4005
29,6,1,3,A,6087
29,6,2,9,B,2046
29,6,3,7,B,2207
29,6,4,8,B,1933
29,6,5,4,A,1971
29,6,6,10,B,3329
29,6,7,1,A,1776
29,6,8,6,B,2408
29,6,9,5,A,1784
29,6,10,2,A,2413
29,7,1,5,A,4647
29,7,2,10,B,1019
29,7,3,6,B,1058
29,7,4,9,B,1487
29,7,5,2,A,2252
29,7,6,4,A,1343
29,7,7,7,B,2286
29,7,8,8,B,2689
29,7,9,3,A,2413
29,7,10,1,A,1576
29,8,1,10,B,6723
29,8,2,6,B,1489
29,8,3,8,B,2133
29,8,4,4,A,1460
29,8,5,2,A,3046
29,8,6,5,A,5529
29,8,7,3,A,2972
29,8,8,9,B,1415
29,8,9,7,B,5841
29,8,10,1,A,2566
30,1,1,7,B,3112
30,1,2,8,B,4505
30,1,3,1,A,3170
30,1,4,4,A,4280
30,1,5,6,B,3288
30,1,6,2,A,5124
30,1,7,10,B,5033
30,1,8,3,A,5193
30,1,9,5,B,3195
30,1,10,9,B,2882
30,2,1,4,A,2931
30,2,2,7,B,2686
30,2,3,10,B,4243
30,2,4,1,A,3408
30,2,5,3,A,4006
30,2,6,6,B,3567
30,2,7,8,B,1647
30,2,8,5,A,5874
30,2,9,2,A,4040
30,2,10,9,B,3524
30,3,1,3,A,1418
30,3,2,6,B,1734
30,3,3,4,A,1971
30,3,4,7,B,3289
30,3,5,9,B,3728
30,3,6,1,A,2105
30,3,7,2,A,1936
30,3,8,5,A,3768
30,3,9,10,B,3662
30,3,10,8,B,3944
30,4,1,2,A,9433
30,4,2,3,A,2806
30,4,3,1,A,1334
30,4,4,7,B,3766
30,4,5,10,B,2445
30,4,6,6,B,2774
30,4,7,9,B,2333
30,4,8,5,A,2569
30,4,9,8,B,2088
30,4,10,4,A,2573
30,5,1,4,A,2213
30,5,2,1,A,1329
30,5,3,5,A,1965
30,5,4,7,B,1936
30,5,5,8,B,1295
30,5,6,6,B,2367
30,5,7,10,B,1938
30,5,8,2,A,1218
30,5,9,3,A,1216
30,5,10,9,B,2328
30,6,1,3,A,4285
30,6,2,10,B,3243
30,6,3,5,A,2212
30,6,4,2,A,3084
30,6,5,1,A,969
30,6,6,4,A,2211
30,6,7,9,B,1607
30,6,8,7,B,1424
30,6,9,6,B,2169
30,6,10,8,B,1131
30,7,1,2,A,3810
30,7,2,5,A,2103
30,7,3,8,B,2573
30,7,4,1,A,858
30,7,5,10,B,2045
30,7,6,7,B,2775
30,7,7,3,A,1200
30,7,8,4,A,1532
30,7,9,6,B,1409
30,7,10,9,B,2615
30,8,1,1,A,1848
30,8,2,3,A,930
30,8,3,5,A,1178
30,8,4,10,B,1651
30,8,5,9,A,2209
30,8,6,7,B,2175
30,8,7,8,B,1419
30,8,8,2,A,1974
30,8,9,6,B,1894
30,8,10,4,A,2048
31,1,1,9,B,17573
31,1,2,3,A,4408
31,1,3,5,A,2892
31,1,4,6,B,2733
31,1,5,7,A,2968
