"date","subj","cbal","keyb","phase","block","trial","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt"
2007-01-16,1,1,"left",1,1,1,"S0020",3,0,"+",1,1760,10291
2007-01-16,1,1,"left",1,1,2,"S0100",2,1,"*",3,961,2253
2007-01-16,1,1,"left",1,1,3,"S0001",3,1,"*",2,776,-1
2007-01-16,1,1,"left",1,1,4,"S2000",2,0,"+",1,1822,6026
2007-01-16,1,1,"left",1,1,5,"S1000",3,0,"+",1,3384,1248
2007-01-16,1,1,"left",1,1,6,"S0010",3,0,"+",1,5821,1228
2007-01-16,1,1,"left",1,1,7,"S0200",3,0,"*",2,-1,2437
2007-01-16,1,1,"left",1,1,8,"S0002",2,0,"*",2,-1,1310
2007-01-16,1,1,"left",1,1,9,"S0001",3,0,"*",2,1125,-1
2007-01-16,1,1,"left",1,1,10,"S1000",3,0,"+",1,7543,1084
2007-01-16,1,1,"left",1,1,11,"S0002",2,0,"*",2,-1,1064
2007-01-16,1,1,"left",1,1,12,"S0010",3,0,"*",3,1022,-1
2007-01-16,1,1,"left",1,1,13,"S2000",2,0,"*",1,-1,3668
2007-01-16,1,1,"left",1,1,14,"S0100",2,0,"+",1,6148,1329
2007-01-16,1,1,"left",1,1,15,"S0020",3,0,"*",4,-1,1268
2007-01-16,1,1,"left",1,1,16,"S0200",2,0,"+",1,6642,7503
2007-01-16,1,1,"left",1,1,17,"S0001",2,0,"*",1,4856,-1
2007-01-16,1,1,"left",1,1,18,"S0200",3,1,"*",4,-1,1001
2007-01-16,1,1,"left",1,1,19,"S0002",2,0,"*",1,-1,4631
2007-01-16,1,1,"left",1,1,20,"S0100",3,0,"*",3,2457,-1
2007-01-16,1,1,"left",1,1,21,"S0010",2,0,"+",1,5472,1165
2007-01-16,1,1,"left",1,1,22,"S2000",2,0,"*",3,-1,1104
2007-01-16,1,1,"left",1,1,23,"S1000",3,0,"+",1,5861,2867
2007-01-16,1,1,"left",1,1,24,"S0020",2,0,"*",1,-1,2170
2007-01-16,1,1,"left",1,1,25,"S0002",3,0,"+",1,4016,6723
2007-01-16,1,1,"left",1,1,26,"S1000",2,0,"+",1,6148,2949
2007-01-16,1,1,"left",1,1,27,"S0200",3,0,"*",2,-1,2806
2007-01-16,1,1,"left",1,1,28,"S2000",2,0,"*",2,-1,1596
2007-01-16,1,1,"left",1,1,29,"S0100",2,1,"*",2,1001,-1
2007-01-16,1,1,"left",1,1,30,"S0020",2,0,"*",1,-1,2026
2007-01-16,1,1,"left",1,1,31,"S0001",3,0,"*",2,1083,-1
2007-01-16,1,1,"left",1,1,32,"S0010",3,0,"+",1,7584,3380
2007-01-16,1,1,"left",1,1,33,"S0020",3,0,"*",1,-1,3995
2007-01-16,1,1,"left",1,1,34,"S0100",2,0,"*",1,2435,-1
2007-01-16,1,1,"left",1,1,35,"S1000",2,0,"*",1,3072,-1
2007-01-16,1,1,"left",1,1,36,"S2000",3,0,"*",1,-1,3482
2007-01-16,1,1,"left",1,1,37,"S0001",3,0,"*",1,3523,-1
2007-01-16,1,1,"left",1,1,38,"S0200",3,0,"*",1,-1,3522
2007-01-16,1,1,"left",1,1,39,"S0002",2,0,"*",1,-1,4651
2007-01-16,1,1,"left",1,1,40,"S0010",3,0,"*",2,2518,-1
2007-01-16,1,1,"left",1,1,41,"S0001",2,0,"*",1,3051,-1
2007-01-16,1,1,"left",1,1,42,"S0200",3,0,"*",2,-1,2641
2007-01-16,1,1,"left",1,1,43,"S0002",2,0,"*",1,-1,3420
2007-01-16,1,1,"left",1,1,44,"S0010",3,0,"*",2,1635,-1
2007-01-16,1,1,"left",1,1,45,"S0100",2,0,"*",1,3974,-1
2007-01-16,1,1,"left",1,1,46,"S2000",2,0,"+",1,2825,5245
2007-01-16,1,1,"left",1,1,47,"S0020",3,0,"*",3,-1,2128
2007-01-16,1,1,"left",1,1,48,"S1000",2,0,"*",2,1533,-1
2007-01-16,1,1,"left",1,1,49,"S0002",2,0,"*",1,-1,3563
2007-01-16,1,1,"left",1,1,50,"S1000",2,0,"*",1,3255,-1
2007-01-16,1,1,"left",1,1,51,"S0010",2,0,"+",1,5060,2415
2007-01-16,1,1,"left",1,1,52,"S0020",3,0,"*",5,-1,1615
2007-01-16,1,1,"left",1,1,53,"S0001",3,0,"*",1,3644,-1
2007-01-16,1,1,"left",1,1,54,"S0100",2,0,"+",1,6126,3747
2007-01-16,1,1,"left",1,1,55,"S2000",3,1,"*",3,2619,999
2007-01-16,1,1,"left",1,1,56,"S0200",2,0,"+",1,1491,5121
2007-01-16,1,1,"left",1,1,57,"S0100",2,1,"*",3,876,-1
2007-01-16,1,1,"left",1,1,58,"S0010",3,0,"*",3,1388,3665
2007-01-16,1,1,"left",1,1,59,"S2000",2,0,"*",1,-1,3542
2007-01-16,1,1,"left",1,1,60,"S0001",2,0,"*",2,1491,-1
2007-01-16,1,1,"left",1,1,61,"S0020",3,0,"*",3,-1,1266
2007-01-16,1,1,"left",1,1,62,"S0200",3,1,"*",4,-1,958
2007-01-16,1,1,"left",1,1,63,"S1000",2,0,"*",1,2230,-1
