acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_facetest_response,correct_instructions,correct_sexrating_response,count_blank100,count_exemplarsequence,count_experiment,count_exposure,count_exposuresequence,count_faceexpose,count_facetest,count_facetest_response,count_instructions,count_logger,count_notes,count_sexrating,count_sexrating_response,count_test,count_testinstructions,datetime,description,disable_garbage_collection,experiment_file,experiment_path,faceno,fname,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_exposure,logfile,mouse_backend,opensesame_codename,opensesame_version,phase,repeat_cycle,response,response_facetest_response,response_instructions,response_sexrating_response,response_testinstructions,response_time,response_time_facetest_response,response_time_instructions,response_time_sexrating_response,response_time_testinstructions,round_decimals,sampler_backend,shifttype,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,synth_backend,time_blank100,time_exemplarsequence,time_experiment,time_exposure,time_exposuresequence,time_faceexpose,time_facetest,time_facetest_response,time_instructions,time_logger,time_notes,time_sexrating,time_sexrating_response,time_test,time_testinstructions,title,total_correct,total_response_time,total_responses,transparent_variables,type,uniform_coordinates,width,xshift,yshift
undefined,undefined,495.166666667,495.166666667,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,11,,0,0,11,11,,,0,11,0,11,11,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,8,0880.png,no,mono,no,18,no,black,no,no,1080,legacy,11,11,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,566,,922,566,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,20315,,686,1619,20312,20418,,,696,21987,,21420,21421,,,Feature Shift Prototypes,0,5942,12,no,,no,1920,8,0
undefined,undefined,490.692307692,490.692307692,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,12,,0,0,12,12,,,0,12,0,12,12,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,7,0708.png,no,mono,no,18,no,black,no,no,1080,legacy,12,12,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,437,,922,437,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,22090,,686,1619,22087,22194,,,696,23635,,23197,23197,,,Feature Shift Prototypes,0,6379,13,no,,no,1920,0,8
undefined,undefined,489.357142857,489.357142857,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,13,,0,0,13,13,,,0,13,0,13,13,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,2,02-80.png,no,mono,no,18,no,black,no,no,1080,legacy,13,13,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,472,,922,472,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,23719,,686,1619,23716,23821,,,696,25298,,24825,24825,,,Feature Shift Prototypes,0,6851,14,no,,no,1920,-8,0
undefined,undefined,483.333333333,483.333333333,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,14,,0,0,14,14,,,0,14,0,14,14,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,3,030-8.png,no,mono,no,18,no,black,no,no,1080,legacy,14,14,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,399,,922,399,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,25385,,686,1619,25382,25487,,,696,26890,,26490,26491,,,Feature Shift Prototypes,0,7250,15,no,,no,1920,0,-8
undefined,undefined,480.875,480.875,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,15,,0,0,15,15,,,0,15,0,15,15,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,2,02-80.png,no,mono,no,18,no,black,no,no,1080,legacy,15,15,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,444,,922,444,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,26972,,686,1619,26969,27075,,,696,28523,,28077,28078,,,Feature Shift Prototypes,0,7694,16,no,,no,1920,-8,0
undefined,undefined,478.882352941,478.882352941,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,16,,0,0,16,16,,,0,16,0,16,16,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,04-80.png,no,mono,no,18,no,black,no,no,1080,legacy,16,16,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,6,,space,6,,447,,922,447,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,28616,,686,1619,28613,28719,,,696,30169,,29721,29722,,,Feature Shift Prototypes,0,8141,17,no,,no,1920,-8,0
undefined,undefined,473.833333333,473.833333333,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,17,,0,0,17,17,,,0,17,0,17,17,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,7,070-8.png,no,mono,no,18,no,black,no,no,1080,legacy,17,17,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,388,,922,388,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,30250,,686,1619,30247,30355,,,696,31746,,31357,31358,,,Feature Shift Prototypes,0,8529,18,no,,no,1920,0,-8
undefined,undefined,469.263157895,469.263157895,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,18,,0,0,18,18,,,0,18,0,18,18,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,1,010-8.png,no,mono,no,18,no,black,no,no,1080,legacy,18,18,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,4,,space,4,,387,,922,387,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,31829,,686,1619,31826,31931,,,696,33322,,32934,32934,,,Feature Shift Prototypes,0,8916,19,no,,no,1920,0,-8
undefined,undefined,468.9,468.9,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,19,,0,0,19,19,,,0,19,0,19,19,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,4,0480.png,no,mono,no,18,no,black,no,no,1080,legacy,19,19,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,5,,space,5,,462,,922,462,,2,legacy,horizontal,1024,2,48000,-16,experiment,12,even,legacy,33411,,686,1619,33408,33513,,,696,34979,,34515,34516,,,Feature Shift Prototypes,0,9378,20,no,,no,1920,8,0
undefined,undefined,467,467,white,no,legacy,legacy,legacy,0,relative,undefined,,undefined,undefined,20,,0,0,20,20,,,0,20,0,20,20,0,0,Thu 31 Oct 2019 11:43:21 GMT,,yes,facialproto_short.osexp,/home/andy/svn/rmip/docs/openseslib,5,0508.png,no,mono,no,18,no,black,no,no,1080,legacy,20,20,/home/andy/svn/rmip/docs/openseslib/subject-12.csv,legacy,Kafkaesque Koffka,3.2.7,exposure,0,7,,space,7,,429,,922,429,,2,legacy,vertical,1024,2,48000,-16,experiment,12,even,legacy,35083,,686,1619,35080,35185,,,696,36618,,36188,36189,,,Feature Shift Prototypes,0,9807,21,no,,no,1920,0,8
