"subj"	"group"	"cb"	"age"	"gender"	"hand"	"block"	"trial"	"stimtype"	"stim1"	"stim2"	"outcome"	"resp"	"rt"	"acc"
601	2	2	21	"m"	"r"	3	73	4	3	0	2	1	0.31221	-1
601	2	2	21	"m"	"r"	3	74	10	7	0	2	1	0.30371	-1
601	2	2	21	"m"	"r"	3	75	8	6	0	1	3	0.25659	100
601	2	2	21	"m"	"r"	3	76	17	14	0	2	1	0.32701	-1
601	2	2	21	"m"	"r"	3	77	6	4	3	1	2	0.36851	20
601	2	2	21	"m"	"r"	3	78	17	14	0	2	1	0.37657	-1
601	2	2	21	"m"	"r"	3	79	16	13	0	2	1	0.31851	-1
601	2	2	21	"m"	"r"	3	80	8	6	0	1	3	0.40124	100
601	2	2	21	"m"	"r"	3	81	16	13	0	2	1	0.35119	-1
601	2	2	21	"m"	"r"	3	82	18	15	16	1	3	0.56778	100
601	2	2	21	"m"	"r"	3	83	2	2	0	1	2	0.32802	20
601	2	2	21	"m"	"r"	3	84	7	5	0	1	3	0.47227	100
601	2	2	21	"m"	"r"	3	85	2	2	0	1	3	0.55961	100
601	2	2	21	"m"	"r"	3	86	13	9	0	1	3	0.39356	100
601	2	2	21	"m"	"r"	3	87	6	3	4	1	1	0.3424	1
601	2	2	21	"m"	"r"	3	88	9	6	5	2	1	0.35093	-1
601	2	2	21	"m"	"r"	3	89	11	8	0	2	1	0.29635	-1
601	2	2	21	"m"	"r"	3	90	1	1	0	1	3	0.49454	100
601	2	2	21	"m"	"r"	3	91	12	8	7	1	1	0.50474	1
601	2	2	21	"m"	"r"	3	92	15	12	11	2	1	0.30387	-1
601	2	2	21	"m"	"r"	3	93	10	7	0	2	1	0.37551	-1
601	2	2	21	"m"	"r"	3	94	15	11	12	2	1	0.45537	-1
601	2	2	21	"m"	"r"	3	95	3	2	1	2	1	0.40043	-1
601	2	2	21	"m"	"r"	3	96	12	7	8	1	3	0.39171	100
601	2	2	21	"m"	"r"	3	97	9	6	5	2	1	0.46304	-1
601	2	2	21	"m"	"r"	3	98	18	16	15	1	3	0.32749	100
601	2	2	21	"m"	"r"	3	99	5	4	0	2	2	0.33668	-20
601	2	2	21	"m"	"r"	3	100	7	5	0	1	3	0.32948	100
601	2	2	21	"m"	"r"	3	101	4	3	0	2	1	0.79335	-1
601	2	2	21	"m"	"r"	3	102	13	9	0	1	3	0.34349	100
601	2	2	21	"m"	"r"	3	103	5	4	0	2	1	0.41621	-1
601	2	2	21	"m"	"r"	3	104	1	1	0	1	3	0.35212	100
601	2	2	21	"m"	"r"	3	105	14	10	0	1	3	0.44954	100
601	2	2	21	"m"	"r"	3	106	3	1	2	2	1	0.43241	-1
601	2	2	21	"m"	"r"	3	107	14	10	0	1	3	0.47981	100
601	2	2	21	"m"	"r"	3	108	11	8	0	2	1	0.36876	-1
601	2	2	21	"m"	"r"	4	109	17	14	0	2	1	0.3687	-1
601	2	2	21	"m"	"r"	4	110	16	13	0	2	1	0.32779	-1
601	2	2	21	"m"	"r"	4	111	12	7	8	1	1	0.4233	1
601	2	2	21	"m"	"r"	4	112	5	4	0	2	1	0.37626	-1
601	2	2	21	"m"	"r"	4	113	7	5	0	1	3	0.42546	100
601	2	2	21	"m"	"r"	4	114	4	3	0	2	2	1.0336	-20
601	2	2	21	"m"	"r"	4	115	1	1	0	1	2	0.31304	20
601	2	2	21	"m"	"r"	4	116	5	4	0	2	1	0.43206	-1
601	2	2	21	"m"	"r"	4	117	15	11	12	2	1	0.36902	-1
601	2	2	21	"m"	"r"	4	118	8	6	0	1	3	0.28949	100
601	2	2	21	"m"	"r"	4	119	10	7	0	2	1	0.31198	-1
601	2	2	21	"m"	"r"	4	120	17	14	0	2	1	0.4013	-1
601	2	2	21	"m"	"r"	4	121	6	4	3	1	1	0.59943	1
601	2	2	21	"m"	"r"	4	122	14	10	0	1	3	0.3915	100
601	2	2	21	"m"	"r"	4	123	13	9	0	1	3	0.28865	100
601	2	2	21	"m"	"r"	4	124	2	2	0	1	3	0.32044	100
601	2	2	21	"m"	"r"	4	125	10	7	0	2	1	0.47189	-1
601	2	2	21	"m"	"r"	4	126	9	6	5	2	1	0.3681	-1
601	2	2	21	"m"	"r"	4	127	14	10	0	1	3	0.40785	100
601	2	2	21	"m"	"r"	4	128	18	16	15	1	3	0.51993	100
601	2	2	21	"m"	"r"	4	129	2	2	0	1	3	0.27201	100
601	2	2	21	"m"	"r"	4	130	9	6	5	2	1	0.63261	-1
601	2	2	21	"m"	"r"	4	131	11	8	0	2	1	0.31232	-1
