"cond"	"subj"	"phase"	"blk"	"trial"	"stim"	"resp"	"rt"
1	1006	1	1	1	42	3	3016
1	1006	1	1	2	48	2	3897
1	1006	1	1	3	10	3	1684
1	1006	1	1	4	2	2	903
1	1006	1	1	5	21	2	854
1	1006	1	1	6	33	2	4004
1	1006	1	1	7	14	2	1434
1	1006	1	1	8	30	1	4137
1	1006	1	2	1	39	3	1673
1	1006	1	2	2	1	3	595
1	1006	1	2	3	46	2	1768
1	1006	1	2	4	18	1	9261
1	1006	1	2	5	22	3	1413
1	1006	1	2	6	32	2	5981
1	1006	1	2	7	9	2	322
1	1006	1	2	8	27	2	937
1	1006	1	3	1	43	3	655
1	1006	1	3	2	17	2	784
1	1006	1	3	3	24	3	553
1	1006	1	3	4	28	3	1992
1	1006	1	3	5	34	3	1216
1	1006	1	3	6	7	1	778
1	1006	1	3	7	5	1	2453
1	1006	1	3	8	38	2	328
1	1006	1	4	1	11	2	455
1	1006	1	4	2	41	2	544
1	1006	1	4	3	35	2	305
1	1006	1	4	4	4	2	281
1	1006	1	4	5	47	3	579
1	1006	1	4	6	15	3	756
1	1006	1	4	7	29	2	683
1	1006	1	4	8	19	1	381
1	1006	1	5	1	44	3	355
1	1006	1	5	2	13	3	390
1	1006	1	5	3	25	3	960
1	1006	1	5	4	31	1	354
1	1006	1	5	5	6	3	430
1	1006	1	5	6	23	2	299
1	1006	1	5	7	8	1	320
1	1006	1	5	8	37	3	1247
1	1006	1	6	1	26	3	255
1	1006	1	6	2	3	3	110
1	1006	1	6	3	45	3	281
1	1006	1	6	4	12	3	613
1	1006	1	6	5	16	2	408
1	1006	1	6	6	40	2	265
1	1006	1	6	7	20	1	431
1	1006	1	6	8	36	3	234
1	1006	1	7	1	17	1	385
1	1006	1	7	2	6	3	1086
1	1006	1	7	3	44	3	313
1	1006	1	7	4	33	2	281
1	1006	1	7	5	23	2	281
1	1006	1	7	6	28	1	711
1	1006	1	7	7	8	2	280
1	1006	1	7	8	38	2	742
1	1006	1	8	1	9	2	271
