"cond"	"subj"	"phase"	"blk"	"trial"	"stim"	"resp"	"rt"
1	5001	1	1	1	33	2	507
1	5001	1	1	2	14	3	453
1	5001	1	1	3	20	3	711
1	5001	1	1	4	42	3	781
1	5001	1	1	5	28	2	784
1	5001	1	1	6	9	1	757
1	5001	1	1	7	44	1	655
1	5001	1	1	8	5	3	1692
1	5001	1	2	1	10	3	668
1	5001	1	2	2	25	2	710
1	5001	1	2	3	2	2	387
1	5001	1	2	4	22	1	678
1	5001	1	2	5	40	3	584
1	5001	1	2	6	36	1	695
1	5001	1	2	7	46	3	492
1	5001	1	2	8	15	1	997
1	5001	1	3	1	19	2	970
1	5001	1	3	2	39	2	608
1	5001	1	3	3	16	2	735
1	5001	1	3	4	45	2	669
1	5001	1	3	5	6	2	1027
1	5001	1	3	6	32	2	1246
1	5001	1	3	7	8	3	612
1	5001	1	3	8	30	2	961
1	5001	1	4	1	21	1	801
1	5001	1	4	2	12	2	590
1	5001	1	4	3	3	1	516
1	5001	1	4	4	26	2	1045
1	5001	1	4	5	13	2	548
1	5001	1	4	6	43	2	769
1	5001	1	4	7	34	2	711
1	5001	1	4	8	37	2	607
1	5001	1	5	1	23	2	564
1	5001	1	5	2	7	2	592
1	5001	1	5	3	1	2	1047
1	5001	1	5	4	31	3	653
1	5001	1	5	5	48	3	628
1	5001	1	5	6	27	3	603
1	5001	1	5	7	38	1	714
1	5001	1	5	8	18	2	634
1	5001	1	6	1	29	1	656
1	5001	1	6	2	11	3	624
1	5001	1	6	3	24	2	578
1	5001	1	6	4	17	3	526
1	5001	1	6	5	35	2	784
1	5001	1	6	6	41	2	558
1	5001	1	6	7	4	1	584
1	5001	1	6	8	47	2	614
1	5001	1	7	1	31	3	620
1	5001	1	7	2	39	2	674
1	5001	1	7	3	15	1	526
1	5001	1	7	4	2	3	665
1	5001	1	7	5	46	3	750
1	5001	1	7	6	12	2	481
1	5001	1	7	7	25	3	750
1	5001	1	7	8	21	1	562
1	5001	1	8	1	14	2	1108
1	5001	1	8	2	4	1	584
1	5001	1	8	3	7	2	605
1	5001	1	8	4	33	3	619
1	5001	1	8	5	47	2	589
1	5001	1	8	6	29	1	654
1	5001	1	8	7	40	3	1076
1	5001	1	8	8	20	3	1026
1	5001	1	9	1	3	1	597
1	5001	1	9	2	45	2	573
1	5001	1	9	3	34	2	566
1	5001	1	9	4	37	1	682
1	5001	1	9	5	17	3	654
1	5001	1	9	6	23	3	1412
1	5001	1	9	7	11	3	692
1	5001	1	9	8	30	1	577
1	5001	1	10	1	5	3	721
1	5001	1	10	2	35	1	402
1	5001	1	10	3	41	3	602
1	5001	1	10	4	19	2	556
1	5001	1	10	5	48	3	631
1	5001	1	10	6	26	2	556
1	5001	1	10	7	10	1	628
1	5001	1	10	8	18	2	575
1	5001	1	11	1	22	1	635
1	5001	1	11	2	32	2	393
1	5001	1	11	3	9	1	409
1	5001	1	11	4	38	1	544
1	5001	1	11	5	44	1	809
1	5001	1	11	6	28	2	524
1	5001	1	11	7	13	2	629
1	5001	1	11	8	6	2	458
1	5001	1	12	1	8	3	622
1	5001	1	12	2	24	2	580
1	5001	1	12	3	27	3	760
1	5001	1	12	4	43	1	595
1	5001	1	12	5	36	1	613
1	5001	1	12	6	1	2	494
1	5001	1	12	7	16	1	588
1	5001	1	12	8	42	3	670
1	5001	2	1	1	0	2	5169
1	5001	2	1	2	0	3	4360
1	5001	2	1	3	0	2	4111
1	5001	2	1	4	0	2	4230
1	5001	2	1	5	0	2	3450
1	5001	2	1	6	0	3	3470
1	5001	2	1	7	0	2	3239
1	5001	2	1	8	0	3	3210
1	5001	2	1	9	0	3	2446
1	5001	2	1	10	0	2	4984
1	5001	2	1	11	0	1	4550
1	5001	2	1	12	0	3	1910
1	5001	2	1	13	0	2	3069
1	5001	2	1	14	0	3	2303
1	5001	2	1	15	0	3	1879
1	5001	2	1	16	0	1	2080
1	5001	2	1	17	0	2	2098
1	5001	2	1	18	0	2	3529
1	5001	2	1	19	0	2	2281
1	5001	2	1	20	0	3	1850
1	5001	2	1	21	0	1	3189
1	5001	2	1	22	0	3	1954
1	5001	2	1	23	0	2	2120
1	5001	2	1	24	0	2	1838
1	5001	2	1	25	0	1	4401
1	5001	2	1	26	0	3	2471
1	5001	2	1	27	0	2	3240
1	5001	2	1	28	0	2	2186
1	5001	2	1	29	0	3	1367
1	5001	2	1	30	0	2	1453
1	5002	1	1	1	10	2	1476
1	5002	1	1	2	40	1	1673
1	5002	1	1	3	36	2	612
1	5002	1	1	4	17	2	1689
1	5002	1	1	5	6	2	637
1	5002	1	1	6	23	3	532
1	5002	1	1	7	46	3	2082
1	5002	1	1	8	25	3	294
1	5002	1	2	1	4	2	792
1	5002	1	2	2	9	2	784
1	5002	1	2	3	26	2	110
1	5002	1	2	4	14	3	1652
1	5002	1	2	5	34	2	1107
1	5002	1	2	6	42	3	986
1	5002	1	2	7	19	2	1024
