subj,report,reportdim
1,ud,porthole
2,ud,porthole
3,ud,porthole
4,os,
5,ud,flag
6,os,
7,ud,porthole
8,changesort,
9,ud,porthole
10,os,
11,changesort,
12,other,
14,os,
15,ud,"flag, porthole"
16,ud,porthole
17,ud,porthole
18,changesort,
19,ud,flag
20,os,
21,other,
22,ud,porthole
23,other,
24,ud,porthole
25,ud,change
26,os,
27,ud,porthole
28,os,
29,ud,porthole
30,ud,porthole
31,ud,change
32,changesort,
33,other,
34,os,
35,lost,
36,os,
37,ud,flag
