"","cond","subj","phase","block","trial","stim","resp","rt"
"121","noload",10,"exp",12,1,3,"A",888
"122","noload",10,"exp",12,2,2,"A",1060
"123","noload",10,"exp",12,3,7,"B",474
"124","noload",10,"exp",12,4,8,"B",660
"125","noload",10,"exp",12,5,9,"A",520
"126","noload",10,"exp",12,6,10,"B",449
"127","noload",10,"exp",12,7,4,"B",460
"128","noload",10,"exp",12,8,6,"B",551
"129","noload",10,"exp",12,9,1,"A",686
"130","noload",10,"exp",12,10,5,"A",704
"131","noload",12,"prac",0,1,0,"A",10718
"132","noload",12,"prac",0,2,0,"A",7538
"133","noload",12,"prac",0,3,0,"A",5334
"134","noload",12,"prac",0,4,0,"B",6087
"135","noload",12,"prac",0,5,0,"B",1804
"136","noload",12,"prac",0,6,0,"B",969
"137","noload",12,"prac",0,7,0,"B",1138
"138","noload",12,"prac",0,8,0,"A",885
"139","noload",12,"prac",0,9,0,"B",897
"140","noload",12,"prac",0,10,0,"A",701
"141","noload",12,"exp",1,1,3,"A",2475
"142","noload",12,"exp",1,2,6,"B",1025
"143","noload",12,"exp",1,3,4,"B",936
"144","noload",12,"exp",1,4,9,"A",851
"145","noload",12,"exp",1,5,10,"B",768
"146","noload",12,"exp",1,6,8,"B",784
"147","noload",12,"exp",1,7,5,"A",847
"148","noload",12,"exp",1,8,2,"A",1309
"149","noload",12,"exp",1,9,7,"B",890
"150","noload",12,"exp",1,10,1,"A",710
"151","noload",12,"exp",2,1,1,"A",1136
"152","noload",12,"exp",2,2,6,"B",1108
"153","noload",12,"exp",2,3,9,"B",1080
"154","noload",12,"exp",2,4,2,"A",1485
"155","noload",12,"exp",2,5,8,"B",1301
"156","noload",12,"exp",2,6,5,"A",1185
"157","noload",12,"exp",2,7,4,"B",1107
"158","noload",12,"exp",2,8,10,"B",1079
"159","noload",12,"exp",2,9,3,"A",733
"160","noload",12,"exp",2,10,7,"B",798
"161","noload",12,"exp",3,1,10,"B",1048
"162","noload",12,"exp",3,2,8,"B",782
"163","noload",12,"exp",3,3,5,"A",1998
"164","noload",12,"exp",3,4,4,"B",1187
"165","noload",12,"exp",3,5,6,"B",1637
"166","noload",12,"exp",3,6,2,"A",1351
"167","noload",12,"exp",3,7,1,"A",851
"168","noload",12,"exp",3,8,7,"B",704
"169","noload",12,"exp",3,9,3,"A",690
"170","noload",12,"exp",3,10,9,"A",756
"171","noload",12,"exp",4,1,10,"B",1275
"172","noload",12,"exp",4,2,9,"A",906
"173","noload",12,"exp",4,3,3,"A",8101
"174","noload",12,"exp",4,4,6,"B",2389
"175","noload",12,"exp",4,5,8,"B",3180
"176","noload",12,"exp",4,6,4,"B",4696
"177","noload",12,"exp",4,7,5,"A",1583
"178","noload",12,"exp",4,8,7,"B",2018
"179","noload",12,"exp",4,9,2,"A",2342
"180","noload",12,"exp",4,10,1,"A",2176
"181","noload",12,"exp",5,1,7,"B",4350
"182","noload",12,"exp",5,2,9,"A",4209
"183","noload",12,"exp",5,3,2,"A",4521
"184","noload",12,"exp",5,4,4,"A",7191
"185","noload",12,"exp",5,5,8,"B",3607
"186","noload",12,"exp",5,6,1,"A",2180
"187","noload",12,"exp",5,7,3,"A",1955
"188","noload",12,"exp",5,8,10,"B",3194
"189","noload",12,"exp",5,9,5,"A",1397
"190","noload",12,"exp",5,10,6,"B",1839
"191","noload",12,"exp",6,1,10,"B",2078
"192","noload",12,"exp",6,2,1,"A",1553
"193","noload",12,"exp",6,3,3,"A",2022
"194","noload",12,"exp",6,4,7,"B",4058
"195","noload",12,"exp",6,5,8,"B",3223
"196","noload",12,"exp",6,6,6,"B",3937
"197","noload",12,"exp",6,7,4,"A",2835
"198","noload",12,"exp",6,8,2,"B",4395
"199","noload",12,"exp",6,9,9,"B",5228
"200","noload",12,"exp",6,10,5,"A",2352
"201","noload",12,"exp",7,1,5,"A",2407
"202","noload",12,"exp",7,2,3,"A",2541
"203","noload",12,"exp",7,3,8,"B",5247
"204","noload",12,"exp",7,4,2,"A",3778
"205","noload",12,"exp",7,5,9,"B",4331
"206","noload",12,"exp",7,6,6,"B",2654
"207","noload",12,"exp",7,7,10,"B",2076
"208","noload",12,"exp",7,8,4,"A",2239
"209","noload",12,"exp",7,9,1,"A",1355
"210","noload",12,"exp",7,10,7,"B",6118
"211","noload",12,"exp",8,1,10,"B",2475
"212","noload",12,"exp",8,2,3,"A",3729
"213","noload",12,"exp",8,3,6,"B",2730
"214","noload",12,"exp",8,4,7,"B",4918
"215","noload",12,"exp",8,5,8,"B",3269
